层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
1.1.尼泊尔,尼泊尔 新增次留,0.166667,0.153846,0.142857,0.230769,0.130435,0.103448,0.012821,8.333333
1.1.巴勒斯坦,巴勒斯坦 新增次留,0.166667,0.4,0.1,0.25,0.0,0.2,-0.233333,-58.333333
1.1.巴哈马,巴哈马 新增次留,0.125,0.833333,0.75,0.0,0.0,0.2,-0.708333,-85.0
1.1.巴基斯坦,巴基斯坦 新增次留,0.122449,0.148148,0.189189,0.176471,0.194805,0.12,-0.025699,-17.346939
1.1.巴巴多斯,巴巴多斯 新增次留,1.0,0.5,,0.333333,0.0,0.333333,0.5,100.0
1.1.巴布亚新几内亚,巴布亚新几内亚 新增次留,,0.0,0.0,,,0.0,,
1.1.巴拉圭,巴拉圭 新增次留,0.0,0.055556,0.25,0.066667,0.111111,0.117647,-0.055556,-100.0
1.1.巴拿马,巴拿马 新增次留,0.133333,0.222222,0.1,0.2,0.0,0.0,-0.088889,-40.0
1.1.巴林,巴林 新增次留,0.0,0.0,1.0,,0.25,0.0,0.0,
1.1.巴西,巴西 新增次留,0.108418,0.102442,0.103379,0.082692,0.085734,0.084617,0.005976,5.833599
1.1.布基纳法索,布基纳法索 新增次留,0.0,0.571429,0.166667,0.0,0.0,1.0,-0.571429,-100.0
1.1.布隆迪,布隆迪 新增次留,,0.0,0.5,,0.0,0.0,,
1.1.希腊,希腊 新增次留,0.266667,0.25,0.149254,0.292308,0.204545,0.108696,0.016667,6.666667
1.1.帕劳,帕劳 新增次留,,,,,,,,
1.1.库克群岛,库克群岛 新增次留,,,,,,,,
1.1.库拉索,库拉索 新增次留,0.0,0.0,,0.0,0.0,,0.0,
1.1.开曼群岛,开曼群岛 新增次留,1.0,0.0,,,0.0,,1.0,
1.1.德国,德国 新增次留,0.131911,0.132012,0.125196,0.121887,0.144947,0.113944,-0.000101,-0.076387
