层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
1.1.越南,越南新增毛利,11.647143,12.613714,17.579857,11.886714,9.573857,22.671286,-0.966571,-7.662861
1.1.阿塞拜疆,阿塞拜疆新增毛利,31.736857,26.371571,30.808429,38.496857,30.958429,13.018429,5.365286,20.34496
1.1.阿富汗,阿富汗新增毛利,0.0,0.0,0.0,0.0,0.0,21.693,0.0,
1.1.阿尔及利亚,阿尔及利亚新增毛利,2.7965,0.0,0.0,0.0,10.8465,8.351667,2.7965,
1.1.阿尔巴尼亚,阿尔巴尼亚新增毛利,54.672429,42.629857,40.149571,42.453286,21.166714,35.944143,12.042571,28.249148
1.1.阿曼,阿曼新增毛利,2.951429,18.087857,4.473429,10.232571,23.835143,12.041,-15.136429,-83.682818
1.1.阿根廷,阿根廷新增毛利,179.966,184.813143,169.949286,197.938143,153.154571,191.705857,-4.847143,-2.622726
1.1.阿联酋,阿联酋新增毛利,232.368571,154.132,183.710143,224.299286,240.703,197.297571,78.236571,50.75946
1.1.阿鲁巴,阿鲁巴新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.韩国,韩国新增毛利,37.993571,31.529714,27.681857,20.779571,29.936,25.764714,6.463857,20.500843
1.1.马尔代夫,马尔代夫新增毛利,3.61575,0.0,8.61425,4.1712,11.3085,7.125,3.61575,
1.1.马恩岛,马恩岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.马拉维,马拉维新增毛利,7.231,2.78075,21.693,8.4658,5.014333,0.0,4.45025,160.03776
1.1.马提尼克岛,马提尼克岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.马来西亚,马来西亚新增毛利,36.471571,59.084,47.888429,70.590857,71.887714,48.205429,-22.612429,-38.271662
1.1.马约特,马约特新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.马绍尔群岛,马绍尔群岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.马耳他,马耳他新增毛利,25.321286,14.716714,27.110143,22.038571,10.938571,11.292,10.604571,72.05801
1.1.马达加斯加,马达加斯加新增毛利,0.0,0.0,7.231,2.7965,0.931,1.3965,0.0,
1.1.马里,马里新增毛利,6.787571,10.273143,12.19,6.632,11.565714,4.954833,-3.485571,-33.928969
1.1.黎巴嫩,黎巴嫩新增毛利,25.920714,19.051143,29.499571,54.815429,41.135143,34.897571,6.869571,36.058579
1.1.黑山,黑山新增毛利,24.523571,50.187857,37.345714,36.485571,7.909857,24.965857,-25.664286,-51.136445
1.2,续订毛利,74916.127571,72914.983,69562.089,71267.383286,69323.075143,73733.2,2001.144571,2.74449
1.2.不丹,不丹续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.东帝汶,东帝汶续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.中国,中国续订毛利,11.091333,15.5194,10.1635,13.846167,18.2326,9.071333,-4.428067,-28.53246
1.2.中国内地,中国内地续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.中国台湾,中国台湾续订毛利,17.7066,11.9785,6.882429,5.146833,9.447,13.716714,5.7281,47.819844
1.2.中国澳门,中国澳门续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.中国香港,中国香港续订毛利,15.411286,12.813571,4.011833,39.305,3.198429,9.879714,2.597714,20.273148
1.2.中非,中非续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.丹麦,丹麦续订毛利,144.668571,161.977714,144.467286,180.376286,171.81,169.475286,-17.309143,-10.686126
1.2.乌克兰,乌克兰续订毛利,479.564143,480.310143,452.871571,456.157429,368.414571,402.525429,-0.746,-0.155316
1.2.乌兹别克斯坦,乌兹别克斯坦续订毛利,14.194571,5.937,6.781571,7.029286,3.56,10.949286,8.257571,139.0866
1.2.乌干达,乌干达续订毛利,1.603,0.484571,0.871,1.1898,3.831143,1.6344,1.118429,230.807783
1.2.乌拉圭,乌拉圭续订毛利,17.835429,16.717714,25.012429,31.999857,12.754286,15.418857,1.117714,6.685808
1.2.乍得,乍得续订毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2.也门,也门续订毛利,21.693,0.0,0.0,0.0,0.0,0.0,21.693,
1.2.亚美尼亚,亚美尼亚续订毛利,19.576571,15.774286,13.196143,19.670857,10.352143,14.706714,3.802286,24.104329
1.2.以色列,以色列续订毛利,495.209571,491.160286,508.380857,647.131143,480.049857,549.789429,4.049286,0.824433
