层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
1,整体 次留,0.32246,0.325393,0.325307,0.317409,0.321539,0.319666,-0.002933,-0.901244
1.1,新用户 次留,0.142303,0.142372,0.144165,0.134085,0.138158,0.136863,-7e-05,-0.048988
1.2,老用户 次留,0.33357,0.336754,0.336812,0.329927,0.334198,0.331543,-0.003185,-0.945711
1.2.1,Android 次留,0.320279,0.323064,0.320111,0.315694,0.321347,0.319065,-0.002786,-0.862261
1.2.1.unknow,unknow 次留,0.261438,0.273292,0.253886,0.283582,0.264368,0.350515,-0.011854,-4.337493
1.2.1.不丹,不丹 次留,0.0,0.142857,0.133333,0.153846,0.285714,0.333333,-0.142857,-100.0
1.2.1.东帝汶,东帝汶 次留,0.518519,0.346154,0.517241,0.416667,0.304348,0.387097,0.172365,49.794239
1.2.1.中国,中国 次留,0.366622,0.375718,0.351121,0.341873,0.353226,0.326845,-0.009096,-2.42107
1.2.1.中国台湾,中国台湾 次留,0.346723,0.409091,0.379455,0.357314,0.348039,0.358779,-0.062368,-15.245478
1.2.1.中国澳门,中国澳门 次留,0.375,0.5,0.357143,0.4,0.466667,0.692308,-0.125,-25.0
1.2.1.中国香港,中国香港 次留,0.347656,0.389831,0.422902,0.375,0.406114,0.426729,-0.042174,-10.818614
1.2.1.中非,中非 次留,0.214286,0.111111,0.1,0.083333,0.111111,0.0,0.103175,92.857143
1.2.1.丹麦,丹麦 次留,0.416961,0.382239,0.355556,0.39823,0.366906,0.392308,0.034722,9.083771
1.2.1.乌克兰,乌克兰 次留,0.358145,0.350313,0.352514,0.342972,0.346308,0.346881,0.007832,2.235695
1.2.1.乌兹别克斯坦,乌兹别克斯坦 次留,0.299145,0.269565,0.289116,0.265442,0.253499,0.276461,0.02958,10.973256
1.2.1.乌干达,乌干达 次留,0.25884,0.26383,0.272966,0.233748,0.243173,0.227097,-0.00499,-1.891226
1.2.1.乌拉圭,乌拉圭 次留,0.371389,0.348446,0.381842,0.362319,0.301813,0.365432,0.022944,6.584579
