渠道自然,国家,日期,平台,DAU,新老,_window,_query
整体,巴拿马,2026-06-22T00:00:00,iOS,310.85714285714283,Old,recent_8w,全量维度
整体,拉脱维亚,2026-06-15T00:00:00,iOS,768.5714285714286,整体,recent_8w,全量维度
整体,塞浦路斯,2026-06-15T00:00:00,整体,659.7142857142857,Old,recent_8w,全量维度
整体,科摩罗,2026-07-06T00:00:00,整体,13.285714285714286,整体,recent_8w,全量维度
整体,利比里亚,2026-06-29T00:00:00,Android,20.0,New,recent_8w,全量维度
整体,布隆迪,2026-07-27T00:00:00,Android,27.428571428571427,Old,recent_8w,全量维度
整体,爱沙尼亚,2026-08-03T00:00:00,整体,809.1428571428571,整体,recent_8w,全量维度
整体,法国,2026-07-20T00:00:00,iOS,444.85714285714283,New,recent_8w,全量维度
整体,黑山,2026-07-27T00:00:00,整体,1160.857142857143,整体,recent_8w,全量维度
整体,南非,2026-07-13T00:00:00,整体,2713.714285714286,整体,recent_8w,全量维度
整体,突尼斯,2026-07-20T00:00:00,整体,449.14285714285717,整体,recent_8w,全量维度
整体,波兰,2026-07-13T00:00:00,Android,790.8571428571429,Old,recent_8w,全量维度
整体,爱沙尼亚,2026-06-29T00:00:00,整体,681.1428571428571,整体,recent_8w,全量维度
整体,立陶宛,2026-07-20T00:00:00,iOS,43.142857142857146,New,recent_8w,全量维度
整体,索马里,2026-07-13T00:00:00,Android,51.857142857142854,Old,recent_8w,全量维度
整体,布隆迪,2026-07-20T00:00:00,Android,30.142857142857142,Old,recent_8w,全量维度
整体,布隆迪,2026-08-03T00:00:00,iOS,1.0,New,recent_8w,全量维度
整体,整体,2026-06-22T00:00:00,iOS,516456.14285714284,Old,recent_8w,全量维度
整体,德国,2026-08-03T00:00:00,Android,295.7142857142857,New,recent_8w,全量维度
整体,巴勒斯坦,2026-07-27T00:00:00,Android,36.142857142857146,整体,recent_8w,全量维度
整体,日本,2026-07-13T00:00:00,iOS,545.5714285714286,Old,recent_8w,全量维度
整体,突尼斯,2026-07-06T00:00:00,整体,40.285714285714285,New,recent_8w,全量维度
整体,香港,2026-07-13T00:00:00,iOS,905.7142857142857,整体,recent_8w,全量维度
整体,秘鲁,2026-08-03T00:00:00,iOS,52.42857142857143,New,recent_8w,全量维度
整体,法国,2026-07-13T00:00:00,整体,5172.0,整体,recent_8w,全量维度
整体,科摩罗,2026-06-22T00:00:00,iOS,3.1666666666666665,整体,recent_8w,全量维度
整体,南非,2026-06-22T00:00:00,整体,2540.8571428571427,整体,recent_8w,全量维度
整体,德国,2026-07-27T00:00:00,Android,3551.285714285714,整体,recent_8w,全量维度
整体,德国,2026-06-15T00:00:00,Android,196.42857142857142,New,recent_8w,全量维度
整体,日本,2026-08-03T00:00:00,整体,702.8571428571429,Old,recent_8w,全量维度
整体,索马里,2026-06-29T00:00:00,Android,8.0,New,recent_8w,全量维度
整体,南非,2026-07-20T00:00:00,整体,84.57142857142857,New,recent_8w,全量维度
整体,拉脱维亚,2026-06-29T00:00:00,iOS,58.285714285714285,New,recent_8w,全量维度
整体,墨西哥,2026-07-27T00:00:00,iOS,957.2857142857143,New,recent_8w,全量维度
整体,秘鲁,2026-07-13T00:00:00,整体,99.57142857142857,New,recent_8w,全量维度
整体,波兰,2026-06-22T00:00:00,iOS,2789.8571428571427,Old,recent_8w,全量维度
整体,突尼斯,2026-06-22T00:00:00,iOS,19.285714285714285,New,recent_8w,全量维度
整体,黑山,2026-08-03T00:00:00,iOS,1050.7142857142858,整体,recent_8w,全量维度
整体,拉脱维亚,2026-07-20T00:00:00,整体,1076.4285714285713,整体,recent_8w,全量维度
整体,巴勒斯坦,2026-08-03T00:00:00,iOS,15.142857142857142,New,recent_8w,全量维度
整体,法国,2026-08-03T00:00:00,Android,118.71428571428571,New,recent_8w,全量维度
整体,阿联酋,2026-06-15T00:00:00,iOS,58.0,New,recent_8w,全量维度
整体,香港,2026-07-20T00:00:00,整体,819.5714285714286,Old,recent_8w,全量维度
整体,布隆迪,2026-07-20T00:00:00,Android,31.428571428571427,整体,recent_8w,全量维度
整体,爱沙尼亚,2026-06-29T00:00:00,整体,642.4285714285714,Old,recent_8w,全量维度
整体,日本,2026-06-22T00:00:00,整体,753.1428571428571,Old,recent_8w,全量维度
整体,巴拿马,2026-07-06T00:00:00,整体,17.0,New,recent_8w,全量维度
整体,秘鲁,2026-07-20T00:00:00,Android,1479.142857142857,Old,recent_8w,全量维度
整体,巴勒斯坦,2026-08-03T00:00:00,整体,17.857142857142858,New,recent_8w,全量维度
整体,巴西,2026-07-27T00:00:00,iOS,6472.0,New,recent_8w,全量维度
整体,波兰,2026-07-27T00:00:00,iOS,3161.5714285714284,整体,recent_8w,全量维度
整体,伯利兹,2026-07-27T00:00:00,iOS,2.4,New,recent_8w,全量维度
整体,拉脱维亚,2026-06-15T00:00:00,Android,159.42857142857142,Old,recent_8w,全量维度
整体,南非,2026-07-27T00:00:00,整体,2503.8571428571427,Old,recent_8w,全量维度
整体,南非,2026-07-13T00:00:00,Android,38.714285714285715,New,recent_8w,全量维度
整体,布隆迪,2026-07-20T00:00:00,iOS,9.714285714285714,整体,recent_8w,全量维度
整体,罗马尼亚,2026-06-15T00:00:00,iOS,1812.7142857142858,Old,recent_8w,全量维度
整体,罗马尼亚,2026-08-03T00:00:00,Android,524.8571428571429,整体,recent_8w,全量维度
整体,墨西哥,2026-06-15T00:00:00,iOS,8268.57142857143,Old,recent_8w,全量维度
整体,科摩罗,2026-07-06T00:00:00,Android,9.142857142857142,整体,recent_8w,全量维度
整体,墨西哥,2026-06-29T00:00:00,Android,1551.2857142857142,New,recent_8w,全量维度
整体,索马里,2026-07-13T00:00:00,整体,105.71428571428571,整体,recent_8w,全量维度
整体,英国,2026-06-15T00:00:00,Android,139.85714285714286,New,recent_8w,全量维度
整体,利比里亚,2026-07-13T00:00:00,iOS,11.428571428571429,New,recent_8w,全量维度
整体,澳大利亚,2026-06-22T00:00:00,整体,436.14285714285717,New,recent_8w,全量维度
整体,拉脱维亚,2026-08-03T00:00:00,整体,1168.142857142857,整体,recent_8w,全量维度
整体,秘鲁,2026-06-15T00:00:00,Android,1494.0,整体,recent_8w,全量维度
整体,巴西,2026-07-20T00:00:00,iOS,5571.428571428572,New,recent_8w,全量维度
整体,巴西,2026-07-13T00:00:00,iOS,200498.0,整体,recent_8w,全量维度
整体,突尼斯,2026-06-29T00:00:00,iOS,228.57142857142858,整体,recent_8w,全量维度
整体,索马里,2026-07-06T00:00:00,Android,55.285714285714285,Old,recent_8w,全量维度
整体,德国,2026-08-03T00:00:00,iOS,993.7142857142857,New,recent_8w,全量维度
整体,索马里,2026-07-20T00:00:00,整体,10.571428571428571,New,recent_8w,全量维度
整体,埃及,2026-07-13T00:00:00,整体,2128.0,Old,recent_8w,全量维度
整体,利比里亚,2026-08-03T00:00:00,Android,189.57142857142858,整体,recent_8w,全量维度
整体,伯利兹,2026-07-06T00:00:00,整体,56.57142857142857,Old,recent_8w,全量维度
整体,日本,2026-06-15T00:00:00,iOS,616.7142857142857,Old,recent_8w,全量维度
整体,罗马尼亚,2026-06-22T00:00:00,iOS,1774.142857142857,Old,recent_8w,全量维度
整体,南非,2026-06-22T00:00:00,Android,843.8571428571429,整体,recent_8w,全量维度
整体,布隆迪,2026-06-15T00:00:00,Android,2.0,New,recent_8w,全量维度
整体,德国,2026-06-15T00:00:00,整体,17443.285714285714,整体,recent_8w,全量维度
整体,尼日利亚,2026-06-22T00:00:00,iOS,4834.428571428572,Old,recent_8w,全量维度
整体,立陶宛,2026-06-29T00:00:00,Android,182.71428571428572,整体,recent_8w,全量维度
整体,埃及,2026-07-13T00:00:00,整体,157.0,New,recent_8w,全量维度
整体,罗马尼亚,2026-07-06T00:00:00,整体,2353.1428571428573,Old,recent_8w,全量维度
整体,澳大利亚,2026-07-27T00:00:00,整体,9995.42857142857,整体,recent_8w,全量维度
整体,南非,2026-06-29T00:00:00,iOS,1720.142857142857,Old,recent_8w,全量维度
整体,索马里,2026-07-27T00:00:00,整体,104.71428571428571,整体,recent_8w,全量维度
整体,整体,2026-07-06T00:00:00,整体,682736.2857142857,Old,recent_8w,全量维度
整体,澳大利亚,2026-06-29T00:00:00,整体,442.57142857142856,New,recent_8w,全量维度
整体,波兰,2026-07-20T00:00:00,整体,212.0,New,recent_8w,全量维度
整体,巴勒斯坦,2026-08-03T00:00:00,整体,305.7142857142857,Old,recent_8w,全量维度
