渠道自然,国家,日期,平台,新老,_window,_query,活跃用户数,次日留存人数
整体,英属印度洋领地,2026-06-15,iOS,整体,recent_8w,全量维度,1.0,0.0
整体,开曼群岛,2026-06-29,Android,Old,recent_8w,全量维度,3.0,0.7142857142857143
整体,格陵兰,2026-06-29,Android,Old,recent_8w,全量维度,2.3333333333333335,0.6666666666666666
整体,百慕大,2026-06-22,iOS,Old,recent_8w,全量维度,23.714285714285715,10.571428571428571
整体,赤道几内亚,2026-07-13,整体,New,recent_8w,全量维度,1.0,0.0
整体,赤道几内亚,2026-07-06,iOS,整体,recent_8w,全量维度,4.142857142857143,1.1428571428571428
整体,毛里求斯,2026-07-20,iOS,Old,recent_8w,全量维度,76.14285714285714,31.0
整体,开曼群岛,2026-06-08,整体,整体,recent_8w,全量维度,37.57142857142857,13.714285714285714
整体,荷属圣马丁,2026-06-29,Android,整体,recent_8w,全量维度,1.4,0.4
整体,牙买加,2026-06-22,Android,Old,recent_8w,全量维度,74.42857142857143,25.571428571428573
整体,百慕大,2026-07-27,iOS,New,recent_8w,全量维度,1.4285714285714286,0.14285714285714285
整体,赤道几内亚,2026-06-22,整体,整体,recent_8w,全量维度,10.714285714285714,2.5714285714285716
整体,瓜德罗普,2026-06-15,iOS,New,recent_8w,全量维度,1.0,0.0
整体,瓜德罗普,2026-07-06,Android,New,recent_8w,全量维度,1.0,0.0
整体,法属波利尼西亚,2026-06-29,Android,整体,recent_8w,全量维度,3.5714285714285716,1.7142857142857142
整体,直布罗陀,2026-06-15,整体,New,recent_8w,全量维度,1.0,0.0
整体,马提尼克岛,2026-06-22,Android,Old,recent_8w,全量维度,1.8571428571428572,0.5714285714285714
整体,莱索托,2026-06-08,iOS,Old,recent_8w,全量维度,7.571428571428571,2.142857142857143
整体,安圭拉,2026-07-06,iOS,整体,recent_8w,全量维度,5.142857142857143,3.142857142857143
