渠道自然,国家,日期,平台,_window,_query,DNU,新增次日留存人数
整体,南非,2026-06-22,整体,recent_8w,全量维度,87.85714285714286,16.285714285714285
整体,多哥,2026-07-13,整体,recent_8w,全量维度,6.857142857142857,1.4285714285714286
整体,unknow,2026-07-20,整体,recent_8w,全量维度,2.0,0.0
non-Organic,玻利维亚,2026-06-29,整体,recent_8w,全量维度,2.5714285714285716,0.5714285714285714
non-Organic,美国,2026-06-22,整体,recent_8w,全量维度,2607.4285714285716,327.2857142857143
整体,瑞典,2026-07-20,整体,recent_8w,全量维度,143.85714285714286,28.571428571428573
non-Organic,玻利维亚,2026-07-06,整体,recent_8w,全量维度,2.4,0.2
整体,unknow,2026-06-08,整体,recent_8w,全量维度,5.285714285714286,0.0
Organic,萨尔瓦多,2026-06-08,整体,recent_8w,全量维度,10.428571428571429,1.7142857142857142
non-Organic,坦桑尼亚,2026-06-08,整体,recent_8w,全量维度,1.6666666666666667,0.3333333333333333
整体,伊朗,2026-06-22,整体,recent_8w,全量维度,1322.4285714285713,184.14285714285714
Organic,葡萄牙,2026-06-15,整体,recent_8w,全量维度,174.28571428571428,29.571428571428573
non-Organic,法国,2026-07-27,整体,recent_8w,全量维度,388.2857142857143,62.857142857142854
Organic,伊朗,2026-07-06,整体,recent_8w,全量维度,1071.0,150.42857142857142
non-Organic,利比里亚,2026-07-27,整体,recent_8w,全量维度,1.0,0.0
non-Organic,斯洛伐克,2026-06-15,整体,recent_8w,全量维度,1.5,0.16666666666666666
整体,卡塔尔,2026-06-15,整体,recent_8w,全量维度,12.571428571428571,1.5714285714285714
Organic,意大利,2026-06-29,整体,recent_8w,全量维度,413.14285714285717,66.85714285714286
整体,美国,2026-07-20,整体,recent_8w,全量维度,5720.142857142857,822.0
整体,斐济,2026-07-20,整体,recent_8w,全量维度,2.6,0.6
Organic,乌克兰,2026-07-06,整体,recent_8w,全量维度,449.57142857142856,85.14285714285714
整体,利比亚,2026-06-08,整体,recent_8w,全量维度,9.142857142857142,2.2857142857142856
Organic,萨尔瓦多,2026-07-20,整体,recent_8w,全量维度,20.857142857142858,4.0
Organic,澳门,2026-06-22,整体,recent_8w,全量维度,1.5,1.0
Organic,蒙古,2026-07-06,整体,recent_8w,全量维度,7.571428571428571,1.0
整体,乌克兰,2026-07-13,整体,recent_8w,全量维度,430.2857142857143,85.28571428571429
non-Organic,利比里亚,2026-07-20,整体,recent_8w,全量维度,1.3333333333333333,0.3333333333333333
non-Organic,多哥,2026-07-13,整体,recent_8w,全量维度,1.5,0.25
non-Organic,斐济,2026-07-27,整体,recent_8w,全量维度,1.0,0.0
整体,墨西哥,2026-07-13,整体,recent_8w,全量维度,2189.714285714286,295.2857142857143
Organic,澳门,2026-07-13,整体,recent_8w,全量维度,1.5,0.25
整体,美国,2026-06-22,整体,recent_8w,全量维度,6435.857142857143,875.0
Organic,法国,2026-06-08,整体,recent_8w,全量维度,330.0,56.142857142857146
Organic,萨尔瓦多,2026-07-13,整体,recent_8w,全量维度,14.714285714285714,4.0
整体,乌克兰,2026-06-22,整体,recent_8w,全量维度,634.7142857142857,117.57142857142857
整体,unknow,2026-07-13,整体,recent_8w,全量维度,2.6666666666666665,0.0
整体,加拿大,2026-07-06,整体,recent_8w,全量维度,523.1428571428571,69.0
Organic,纳米比亚,2026-06-15,整体,recent_8w,全量维度,2.25,0.0
Organic,巴基斯坦,2026-06-29,整体,recent_8w,全量维度,253.28571428571428,44.714285714285715
non-Organic,伊朗,2026-07-13,整体,recent_8w,全量维度,87.28571428571429,12.0
non-Organic,关岛,2026-06-22,整体,recent_8w,全量维度,1.5,0.0
Organic,玻利维亚,2026-07-27,整体,recent_8w,全量维度,33.0,6.0
non-Organic,斯洛伐克,2026-07-13,整体,recent_8w,全量维度,1.0,0.0
non-Organic,利比里亚,2026-06-15,整体,recent_8w,全量维度,1.0,1.0
non-Organic,加拿大,2026-07-20,整体,recent_8w,全量维度,122.14285714285714,10.285714285714286
Organic,乌克兰,2026-06-15,整体,recent_8w,全量维度,316.2857142857143,55.57142857142857
non-Organic,利比亚,2026-06-15,整体,recent_8w,全量维度,1.0,0.5
整体,澳门,2026-06-29,整体,recent_8w,全量维度,1.0,0.0
整体,墨西哥,2026-06-29,整体,recent_8w,全量维度,1824.7142857142858,170.0
整体,墨西哥,2026-06-15,整体,recent_8w,全量维度,1468.7142857142858,134.0
整体,利比里亚,2026-07-20,整体,recent_8w,全量维度,27.285714285714285,5.142857142857143
non-Organic,瑞典,2026-07-13,整体,recent_8w,全量维度,4.428571428571429,1.0
Organic,捷克,2026-07-27,整体,recent_8w,全量维度,58.857142857142854,12.142857142857142
Organic,意大利,2026-07-27,整体,recent_8w,全量维度,428.0,68.28571428571429
non-Organic,美国,2026-07-27,整体,recent_8w,全量维度,2031.2857142857142,258.85714285714283
整体,法国,2026-06-08,整体,recent_8w,全量维度,392.42857142857144,67.14285714285714
整体,法国,2026-07-20,整体,recent_8w,全量维度,524.5714285714286,92.14285714285714
non-Organic,斐济,2026-06-08,整体,recent_8w,全量维度,1.0,0.0
Organic,加拿大,2026-07-06,整体,recent_8w,全量维度,436.2857142857143,59.714285714285715
non-Organic,墨西哥,2026-07-06,整体,recent_8w,全量维度,1742.7142857142858,151.14285714285714
整体,斯洛伐克,2026-06-15,整体,recent_8w,全量维度,20.0,4.0
整体,卡塔尔,2026-06-08,整体,recent_8w,全量维度,12.857142857142858,1.5714285714285714
整体,爱沙尼亚,2026-07-06,整体,recent_8w,全量维度,38.285714285714285,7.428571428571429
Organic,纳米比亚,2026-06-29,整体,recent_8w,全量维度,4.0,1.0
Organic,瑞典,2026-06-29,整体,recent_8w,全量维度,144.0,27.0
整体,以色列,2026-06-08,整体,recent_8w,全量维度,105.14285714285714,15.571428571428571
non-Organic,南非,2026-06-29,整体,recent_8w,全量维度,20.142857142857142,3.2857142857142856
non-Organic,加拿大,2026-06-08,整体,recent_8w,全量维度,129.85714285714286,10.571428571428571
Organic,玻利维亚,2026-06-15,整体,recent_8w,全量维度,23.0,2.5714285714285716
整体,萨尔瓦多,2026-07-06,整体,recent_8w,全量维度,16.571428571428573,1.8571428571428572
整体,哈萨克斯坦,2026-07-20,整体,recent_8w,全量维度,189.14285714285714,31.285714285714285
Organic,关岛,2026-06-29,整体,recent_8w,全量维度,3.0,0.0
non-Organic,斯洛伐克,2026-06-29,整体,recent_8w,全量维度,1.0,0.0
Organic,美国,2026-06-08,整体,recent_8w,全量维度,3560.4285714285716,502.85714285714283
non-Organic,乌克兰,2026-06-29,整体,recent_8w,全量维度,22.285714285714285,3.0
整体,意大利,2026-06-15,整体,recent_8w,全量维度,423.85714285714283,70.57142857142857
non-Organic,比利时,2026-06-15,整体,recent_8w,全量维度,3.142857142857143,0.2857142857142857
整体,美国,2026-06-08,整体,recent_8w,全量维度,6827.0,912.8571428571429
整体,伊朗,2026-07-06,整体,recent_8w,全量维度,2057.1428571428573,254.0
non-Organic,捷克,2026-07-13,整体,recent_8w,全量维度,2.6666666666666665,0.16666666666666666
Organic,爱沙尼亚,2026-07-06,整体,recent_8w,全量维度,36.57142857142857,7.142857142857143
Organic,利比里亚,2026-07-06,整体,recent_8w,全量维度,30.142857142857142,3.4285714285714284
non-Organic,伊朗,2026-06-15,整体,recent_8w,全量维度,108.42857142857143,14.571428571428571
Organic,以色列,2026-07-06,整体,recent_8w,全量维度,102.57142857142857,16.428571428571427
non-Organic,关岛,2026-07-06,整体,recent_8w,全量维度,1.0,0.0
non-Organic,比利时,2026-07-27,整体,recent_8w,全量维度,3.0,0.14285714285714285
Organic,关岛,2026-07-13,整体,recent_8w,全量维度,1.6666666666666667,0.0
non-Organic,葡萄牙,2026-06-08,整体,recent_8w,全量维度,8.857142857142858,1.4285714285714286
non-Organic,乌克兰,2026-07-27,整体,recent_8w,全量维度,15.857142857142858,1.5714285714285714
Organic,瑞典,2026-07-27,整体,recent_8w,全量维度,194.71428571428572,41.57142857142857
non-Organic,利比里亚,2026-06-29,整体,recent_8w,全量维度,1.0,0.0
non-Organic,葡萄牙,2026-07-20,整体,recent_8w,全量维度,9.428571428571429,1.4285714285714286
整体,卡塔尔,2026-07-06,整体,recent_8w,全量维度,12.714285714285714,2.0
non-Organic,利比亚,2026-07-27,整体,recent_8w,全量维度,1.0,0.0
Organic,unknow,2026-06-08,整体,recent_8w,全量维度,5.285714285714286,0.0
non-Organic,伊朗,2026-06-29,整体,recent_8w,全量维度,2600.714285714286,304.42857142857144
non-Organic,瑞典,2026-07-06,整体,recent_8w,全量维度,6.285714285714286,1.1428571428571428
Organic,意大利,2026-06-15,整体,recent_8w,全量维度,411.14285714285717,67.85714285714286
Organic,加拿大,2026-06-22,整体,recent_8w,全量维度,465.0,61.0
整体,蒙古,2026-06-29,整体,recent_8w,全量维度,5.714285714285714,1.2857142857142858
Organic,玻利维亚,2026-07-13,整体,recent_8w,全量维度,27.0,4.714285714285714
Organic,以色列,2026-06-08,整体,recent_8w,全量维度,102.0,15.571428571428571
整体,意大利,2026-06-08,整体,recent_8w,全量维度,459.42857142857144,78.57142857142857
Organic,unknow,2026-07-20,整体,recent_8w,全量维度,2.0,0.0
Organic,蒙古,2026-06-22,整体,recent_8w,全量维度,7.142857142857143,0.5714285714285714
non-Organic,多哥,2026-07-27,整体,recent_8w,全量维度,2.0,1.0
Organic,蒙古,2026-07-13,整体,recent_8w,全量维度,9.285714285714286,0.8571428571428571
non-Organic,意大利,2026-07-13,整体,recent_8w,全量维度,16.857142857142858,2.2857142857142856
Organic,坦桑尼亚,2026-07-13,整体,recent_8w,全量维度,19.428571428571427,3.857142857142857
non-Organic,瑞典,2026-07-20,整体,recent_8w,全量维度,5.571428571428571,0.7142857142857143
Organic,加拿大,2026-06-08,整体,recent_8w,全量维度,381.57142857142856,56.0
Organic,蒙古,2026-07-20,整体,recent_8w,全量维度,6.142857142857143,0.42857142857142855
non-Organic,捷克,2026-06-15,整体,recent_8w,全量维度,2.3333333333333335,0.16666666666666666
整体,捷克,2026-06-29,整体,recent_8w,全量维度,53.714285714285715,11.142857142857142
non-Organic,瑞典,2026-06-29,整体,recent_8w,全量维度,12.571428571428571,2.4285714285714284
non-Organic,墨西哥,2026-06-08,整体,recent_8w,全量维度,985.7142857142857,75.71428571428571
non-Organic,卡塔尔,2026-07-13,整体,recent_8w,全量维度,1.1666666666666667,0.5
整体,纳米比亚,2026-06-15,整体,recent_8w,全量维度,2.25,0.0
整体,卡塔尔,2026-06-22,整体,recent_8w,全量维度,13.857142857142858,2.142857142857143
Organic,墨西哥,2026-07-06,整体,recent_8w,全量维度,513.4285714285714,84.0
整体,捷克,2026-07-20,整体,recent_8w,全量维度,51.42857142857143,9.571428571428571
non-Organic,卡塔尔,2026-06-08,整体,recent_8w,全量维度,1.0,0.0
