渠道自然,国家,日期,平台,新老,付费状态,版本,一级功能,二级功能,_window,_query,保存 UV
整体,英国,2026-06-22,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,25697.0
整体,美国,2026-07-27,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,3242.4285714285716
整体,巴西,2026-06-22,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,211956.25
整体,巴西,2026-07-27,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,213128.14285714287
整体,美国,2026-06-15,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,2822.1428571428573
整体,整体,2026-06-29,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,487140.14285714284
整体,巴西,2026-06-08,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,199321.2857142857
整体,整体,2026-07-06,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,20105.714285714286
整体,整体,2026-06-08,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,450476.4285714286
整体,巴西,2026-07-20,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,204971.2857142857
整体,英国,2026-06-22,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,1284.5
整体,巴西,2026-07-06,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,205140.0
整体,美国,2026-07-13,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,3237.5714285714284
整体,英国,2026-06-08,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,19367.0
整体,英国,2026-07-06,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,1307.5714285714287
整体,英国,2026-07-06,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,25646.714285714286
整体,美国,2026-06-08,整体,整体,整体,整体,图片编辑,Head,recent_8w,图片编辑二级功能,0.14285714285714285
整体,美国,2026-07-20,整体,整体,整体,整体,图片编辑,Ccd,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-07-13,整体,整体,整体,整体,图片编辑,Beautymagic,recent_8w,图片编辑二级功能,3.2857142857142856
整体,整体,2026-06-22,整体,整体,整体,整体,图片编辑,Lips,recent_8w,图片编辑二级功能,4.285714285714286
整体,英国,2026-06-29,整体,整体,整体,整体,图片编辑,Plump,recent_8w,图片编辑二级功能,340.14285714285717
整体,美国,2026-06-15,整体,整体,整体,整体,图片编辑,Eyebrows,recent_8w,图片编辑二级功能,0.14285714285714285
整体,整体,2026-07-06,整体,整体,整体,整体,图片编辑,Redness Fix,recent_8w,图片编辑二级功能,0.25
整体,美国,2026-07-06,整体,整体,整体,整体,图片编辑,Body,recent_8w,图片编辑二级功能,11926.857142857143
整体,美国,2026-06-29,整体,整体,整体,整体,图片编辑,Acne,recent_8w,图片编辑二级功能,13828.285714285714
整体,巴西,2026-06-15,整体,整体,整体,整体,图片编辑,Arm,recent_8w,图片编辑二级功能,1.6
整体,英国,2026-07-13,整体,整体,整体,整体,图片编辑,Stains,recent_8w,图片编辑二级功能,11.571428571428571
整体,巴西,2026-07-13,整体,整体,整体,整体,图片编辑,Arm,recent_8w,图片编辑二级功能,1.5
整体,英国,2026-07-20,整体,整体,整体,整体,图片编辑,Eyeliner,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-06-15,整体,整体,整体,整体,图片编辑,Resize,recent_8w,图片编辑二级功能,1083.0
整体,英国,2026-07-06,整体,整体,整体,整体,图片编辑,Bokeh,recent_8w,图片编辑二级功能,253.0
整体,整体,2026-06-15,整体,整体,整体,整体,图片编辑,Skin,recent_8w,图片编辑二级功能,0.0
整体,巴西,2026-06-22,整体,整体,整体,整体,图片编辑,Dark Circles,recent_8w,图片编辑二级功能,15524.0
整体,英国,2026-07-06,整体,整体,整体,整体,图片编辑,Hair,recent_8w,图片编辑二级功能,1110.5714285714287
整体,美国,2026-06-22,整体,整体,整体,整体,图片编辑,Stamp,recent_8w,图片编辑二级功能,504.75
整体,英国,2026-06-29,整体,整体,整体,整体,图片编辑,Dark Circles,recent_8w,图片编辑二级功能,1625.142857142857
整体,美国,2026-06-15,整体,整体,整体,整体,图片编辑,Contour,recent_8w,图片编辑二级功能,1283.5714285714287
整体,整体,2026-06-29,整体,整体,整体,整体,图片编辑,Blush,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-06-22,整体,整体,整体,整体,图片编辑,Stains,recent_8w,图片编辑二级功能,7.75
整体,整体,2026-06-29,整体,整体,整体,整体,图片编辑,Crop,recent_8w,图片编辑二级功能,47523.142857142855
整体,整体,2026-06-22,整体,整体,整体,整体,图片编辑,Teeth,recent_8w,图片编辑二级功能,39992.857142857145
整体,整体,2026-07-20,整体,整体,整体,整体,图片编辑,Retouchch,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-07-06,整体,整体,整体,整体,图片编辑,Acne,recent_8w,图片编辑二级功能,4464.428571428572
整体,巴西,2026-07-27,整体,整体,整体,整体,图片编辑,Sun-kissed,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-07-06,整体,整体,整体,整体,图片编辑,Breast,recent_8w,图片编辑二级功能,1.0
整体,整体,2026-07-06,整体,整体,整体,整体,图片编辑,Detailsone,recent_8w,图片编辑二级功能,1.0
整体,整体,2026-07-13,整体,整体,整体,整体,图片编辑,Features,recent_8w,图片编辑二级功能,0.0
整体,美国,2026-06-08,整体,整体,整体,整体,图片编辑,AI Features,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-07-06,整体,整体,整体,整体,图片编辑,Blush,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-07-27,整体,整体,整体,整体,图片编辑,Hair Enrich,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-07-20,整体,整体,整体,整体,图片编辑,Resize,recent_8w,图片编辑二级功能,1098.5714285714287
整体,整体,2026-07-27,整体,整体,整体,整体,图片编辑,Natural tan,recent_8w,图片编辑二级功能,0.0
整体,整体,2026-07-27,整体,整体,整体,整体,图片编辑,Tan Flash,recent_8w,图片编辑二级功能,0.0
整体,巴西,2026-07-20,整体,整体,整体,整体,图片编辑,Shimmer,recent_8w,图片编辑二级功能,0.0
整体,美国,2026-07-27,整体,整体,整体,整体,图片编辑,Body,recent_8w,图片编辑二级功能,12297.42857142857
整体,英国,2026-06-22,整体,整体,整体,整体,图片编辑,Eyeliner,recent_8w,图片编辑二级功能,0.0
整体,英国,2026-07-13,整体,整体,整体,整体,图片编辑,Acne,recent_8w,图片编辑二级功能,4436.428571428572
