渠道自然,国家,日期,平台,DNU,_window,_query
non-Organic,斐济,2026-07-13T00:00:00,iOS,1.0,recent_8w,全量维度
整体,瑞典,2026-07-06T00:00:00,Android,24.0,recent_8w,全量维度
整体,斯洛伐克,2026-07-27T00:00:00,iOS,19.428571428571427,recent_8w,全量维度
Organic,哈萨克斯坦,2026-07-20T00:00:00,iOS,160.42857142857142,recent_8w,全量维度
整体,斯洛伐克,2026-07-27T00:00:00,整体,23.714285714285715,recent_8w,全量维度
non-Organic,斯洛伐克,2026-07-20T00:00:00,整体,1.75,recent_8w,全量维度
Organic,哈萨克斯坦,2026-06-15T00:00:00,Android,16.0,recent_8w,全量维度
Organic,美国,2026-07-06T00:00:00,整体,4269.428571428572,recent_8w,全量维度
Organic,加拿大,2026-06-29T00:00:00,整体,500.57142857142856,recent_8w,全量维度
整体,斐济,2026-06-08T00:00:00,Android,1.0,recent_8w,全量维度
整体,多哥,2026-06-15T00:00:00,整体,7.285714285714286,recent_8w,全量维度
Organic,萨尔瓦多,2026-07-20T00:00:00,iOS,11.285714285714286,recent_8w,全量维度
Organic,萨尔瓦多,2026-07-13T00:00:00,Android,7.428571428571429,recent_8w,全量维度
整体,哈萨克斯坦,2026-07-06T00:00:00,iOS,230.42857142857142,recent_8w,全量维度
Organic,利比亚,2026-06-29T00:00:00,iOS,3.7142857142857144,recent_8w,全量维度
non-Organic,墨西哥,2026-06-29T00:00:00,Android,1289.5714285714287,recent_8w,全量维度
整体,斯洛伐克,2026-07-20T00:00:00,iOS,18.285714285714285,recent_8w,全量维度
整体,美国,2026-07-27T00:00:00,整体,6002.0,recent_8w,全量维度
Organic,萨尔瓦多,2026-06-08T00:00:00,Android,4.428571428571429,recent_8w,全量维度
non-Organic,萨尔瓦多,2026-07-27T00:00:00,Android,1.6666666666666667,recent_8w,全量维度
整体,澳门,2026-07-27T00:00:00,iOS,1.3333333333333333,recent_8w,全量维度
Organic,萨尔瓦多,2026-06-08T00:00:00,iOS,6.0,recent_8w,全量维度
Organic,比利时,2026-06-29T00:00:00,Android,10.428571428571429,recent_8w,全量维度
Organic,卡塔尔,2026-07-06T00:00:00,整体,12.0,recent_8w,全量维度
Organic,斯洛伐克,2026-07-06T00:00:00,Android,7.142857142857143,recent_8w,全量维度
Organic,意大利,2026-07-20T00:00:00,Android,67.42857142857143,recent_8w,全量维度
整体,比利时,2026-06-08T00:00:00,整体,62.0,recent_8w,全量维度
整体,美国,2026-07-13T00:00:00,Android,557.7142857142857,recent_8w,全量维度
整体,澳门,2026-07-13T00:00:00,iOS,1.6666666666666667,recent_8w,全量维度
Organic,蒙古,2026-07-06T00:00:00,iOS,6.428571428571429,recent_8w,全量维度
整体,美国,2026-06-15T00:00:00,iOS,6134.0,recent_8w,全量维度
