层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
2.2.斯里兰卡,斯里兰卡 新增UV,12.857143,10.571429,13.571429,13.714286,15.714286,12.571429,18.285714,16.0,2.285714,21.621622,2.4595e-06,-3.513574,0.001721
2.2.新加坡,新加坡 新增UV,38.571429,34.428571,39.857143,39.428571,46.714286,35.285714,39.571429,32.428571,4.142857,12.033195,5.4411e-06,-7.773015,0.003808
2.2.新喀里多尼亚,新喀里多尼亚 新增UV,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.32e-08,-0.018848,9e-06
2.2.新西兰,新西兰 新增UV,28.142857,24.714286,28.0,38.857143,29.142857,26.142857,32.571429,35.285714,3.428571,13.872832,3.1685e-06,-4.526461,0.002217
2.2.日本,日本 新增UV,46.571429,61.142857,43.571429,52.571429,64.142857,43.714286,44.142857,44.142857,-14.571429,-23.831776,1.5128e-06,-2.16117,0.001059
2.2.智利,智利 新增UV,55.428571,48.571429,46.714286,41.571429,43.714286,47.857143,54.428571,52.571429,6.857143,14.117647,3.9506e-06,-5.643747,0.002765
2.2.柬埔寨,柬埔寨 新增UV,9.857143,11.142857,12.857143,13.0,7.714286,12.142857,13.571429,8.857143,-1.285714,-11.538462,-1.896e-06,2.708566,-0.001327
2.2.根西岛,根西岛 新增UV,1.25,1.0,1.5,1.5,1.5,1.4,2.0,1.25,0.25,25.0,-8.254e-07,1.179142,-0.000578
2.2.格林纳达,格林纳达 新增UV,1.25,1.5,1.0,1.0,1.4,1.0,2.0,2.0,-0.25,-16.666667,-3.474e-07,0.496355,-0.000243
2.2.格陵兰,格陵兰 新增UV,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.95e-08,0.113536,-5.6e-05
2.2.格鲁吉亚,格鲁吉亚 新增UV,63.142857,66.571429,83.857143,84.285714,65.142857,58.142857,54.428571,56.428571,-3.428571,-5.150215,-2.3746e-06,3.392352,-0.001662
2.2.比利时,比利时 新增UV,56.857143,59.857143,59.285714,71.285714,63.0,50.142857,54.142857,63.857143,-3.0,-5.011933,-1.405e-06,2.007211,-0.000983
2.2.毛里塔尼亚,毛里塔尼亚 新增UV,4.571429,6.0,8.142857,6.714286,6.428571,4.428571,6.714286,7.714286,-1.428571,-23.809524,-3.6824e-06,5.260553,-0.002577
2.2.毛里求斯,毛里求斯 新增UV,3.857143,3.571429,5.142857,4.0,4.571429,2.857143,5.428571,5.285714,0.285714,8.0,-2.001e-07,0.285843,-0.00014
2.2.汤加,汤加 新增UV,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-7.95e-08,0.113536,-5.6e-05
2.2.沙特阿拉伯,沙特阿拉伯 新增UV,71.0,70.857143,85.571429,91.571429,111.571429,74.714286,75.285714,89.428571,0.142857,0.201613,-2.09e-08,0.029814,-1.5e-05
2.2.法国,法国 新增UV,311.571429,309.285714,330.0,318.142857,306.714286,238.0,215.714286,228.142857,2.285714,0.73903,3.521e-07,-0.503043,0.000246
2.2.法属圣马丁,法属圣马丁 新增UV,1.0,0.0,1.0,1.0,1.0,1.5,1.0,0.0,1.0,,,,
2.2.法属圭亚那,法属圭亚那 新增UV,0.0,2.0,1.0,1.5,1.0,1.0,1.25,1.0,-2.0,-100.0,,,
2.2.法属波利尼西亚,法属波利尼西亚 新增UV,1.166667,1.4,1.333333,2.166667,1.25,1.333333,1.25,1.333333,-0.233333,-16.666667,-2.4144e-06,3.449131,-0.00169
2.2.法罗群岛,法罗群岛 新增UV,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.32e-08,-0.018848,9e-06
2.2.波兰,波兰 新增UV,201.857143,186.714286,209.285714,192.714286,261.571429,212.428571,129.857143,143.285714,15.142857,8.110176,5.9649e-06,-8.521244,0.004174
2.2.波多黎各,波多黎各 新增UV,21.428571,24.285714,20.571429,25.571429,25.142857,22.285714,23.0,21.285714,-2.857143,-11.764706,-2.988e-07,0.426841,-0.000209
2.2.波黑,波黑 新增UV,41.857143,46.0,46.714286,54.571429,53.285714,41.142857,44.142857,46.285714,-4.142857,-9.006211,-9.91e-08,0.141601,-6.9e-05
