m.date_p,m.os_type,code,m.is_new,country,duration,sub_suc_cnt,paid_cnt,trial_cnt,dismiss_cnt,new_gmv,renew_gmv,after_paid_gmv
20260725,iOS,对照组,Old,澳大利亚,月,2,2,0,1,15.99,0,0
20260726,iOS,对照组,Old,澳大利亚,年,5,1,4,2,27.99,0,0
20260718,iOS,实验组A,Old,巴西,月,20,20,0,6,62.65,0,0
20260719,iOS,对照组,New,巴西,年,14,4,14,7,50.68,0,0
20260722,iOS,实验组B,Old,英国,分期年卡,4,4,0,0,18.68,0,0
20260724,iOS,实验组B,New,其他,月,2,2,0,0,20.22,0,0
20260724,iOS,实验组B,New,英国,年,2,0,2,2,0.0,0,0
20260726,iOS,实验组B,Old,巴西,分期年卡,25,25,0,0,39.0,0,0
20260718,iOS,实验组A,Old,巴西,年,41,15,34,18,168.72,0,0
20260718,iOS,对照组,Old,巴西,月,21,21,0,2,66.65,0,3.85
20260719,iOS,实验组B,Old,其他,分期年卡,2,2,0,0,9.33,0,0
20260720,iOS,实验组B,Old,其他,月,1,1,0,0,5.73,0,0
20260720,iOS,实验组B,Old,英国,年,5,1,4,3,27.4,0,0
20260724,iOS,对照组,Old,澳大利亚,月,1,1,0,0,8.9,0,0
20260725,iOS,实验组A,New,巴西,月,3,3,0,2,8.99,0,0
20260726,iOS,实验组A,New,巴西,年,17,6,11,4,54.76,0,0
20260717,iOS,对照组,New,巴西,年,1,0,1,1,0.0,0,0
20260718,iOS,实验组B,New,巴西,月,1,1,0,1,3.21,0,0
20260718,iOS,对照组,Old,巴西,年,57,27,44,31,291.07,0,0
20260720,iOS,实验组B,Old,其他,年,4,3,1,1,52.76,0,0
20260721,iOS,实验组A,Old,其他,月,2,2,0,0,20.26,0,0
20260721,iOS,实验组A,Old,英国,年,20,3,17,6,67.29,0,0
20260722,iOS,实验组A,New,其他,年,2,0,2,1,0.0,0,0
20260725,iOS,实验组A,New,巴西,年,14,2,12,5,17.76,0,0
20260725,iOS,对照组,New,巴西,月,1,1,0,0,3.22,0,0
20260726,iOS,对照组,New,巴西,年,18,5,13,3,45.12,0,0
20260719,iOS,实验组B,Old,澳大利亚,分期年卡,4,4,0,0,17.75,0,0
20260720,iOS,实验组B,Old,澳大利亚,月,2,2,0,0,16.04,0,0
20260721,iOS,实验组A,New,英国,分期年卡,1,1,0,0,4.67,0,0
20260721,iOS,实验组B,New,英国,月,2,2,0,1,20.26,0,0
20260721,iOS,对照组,Old,英国,年,16,0,16,8,0.0,0,0
20260722,iOS,对照组,New,其他,年,1,0,1,1,0.0,0,0
20260723,iOS,实验组B,Old,其他,月,2,2,0,1,13.32,0,0
20260725,iOS,对照组,New,巴西,年,11,2,9,1,18.55,0,0
20260719,iOS,实验组A,New,英国,年,7,0,7,7,0.0,0,0
20260721,iOS,实验组B,New,英国,年,3,0,3,3,0.0,0,0
