层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%
1.贝宁.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,453.0,643.0,1547.0,844.0,127.0,126.0,133.0,112.0,135.0,175.0,108.0,161.0,146.0,135.0,-190.0,-29.548989
1.贝宁.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,1283.0,1391.0,932.0,461.0,463.0,437.0,539.0,553.0,532.0,637.0,669.0,671.0,673.0,724.0,-108.0,-7.764198
1.赞比亚,赞比亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,1369.0,1435.0,1578.0,1518.0,1514.0,1543.0,1712.0,1758.0,1693.0,2149.0,1864.0,1937.0,1977.0,2035.0,-66.0,-4.599303
1.赞比亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,234.0,259.0,329.0,249.0,236.0,268.0,278.0,282.0,247.0,331.0,214.0,277.0,260.0,205.0,-25.0,-9.65251
1.赞比亚.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,3.0,12.0,13.0,7.0,15.0,9.0,9.0,9.0,2.0,2.0,20.0,20.0,19.0,13.0,-9.0,-75.0
1.赞比亚.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,231.0,247.0,316.0,242.0,221.0,259.0,269.0,273.0,245.0,329.0,194.0,257.0,241.0,192.0,-16.0,-6.477733
1.赞比亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,1135.0,1176.0,1249.0,1269.0,1278.0,1275.0,1434.0,1476.0,1446.0,1818.0,1650.0,1660.0,1717.0,1830.0,-41.0,-3.486395
1.赤道几内亚,赤道几内亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,99.0,120.0,123.0,109.0,105.0,110.0,141.0,144.0,154.0,213.0,191.0,203.0,197.0,195.0,-21.0,-17.5
1.赤道几内亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,14.0,30.0,29.0,19.0,21.0,11.0,26.0,20.0,21.0,34.0,34.0,25.0,31.0,14.0,-16.0,-53.333333
1.赤道几内亚.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,,,,1.0,,1.0,1.0,1.0,1.0,,4.0,1.0,1.0,,,
1.赤道几内亚.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,14.0,30.0,29.0,18.0,21.0,10.0,25.0,19.0,20.0,34.0,30.0,24.0,30.0,14.0,-16.0,-53.333333
1.赤道几内亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,85.0,90.0,94.0,90.0,84.0,99.0,115.0,124.0,133.0,179.0,157.0,178.0,166.0,181.0,-5.0,-5.555556
1.越南,越南MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,6946.0,6240.0,6619.0,6871.0,7598.0,7756.0,7474.0,7226.0,6870.0,11700.0,11420.0,10615.0,11504.0,10641.0,706.0,11.314103
1.越南.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1588.0,1294.0,1477.0,1294.0,1508.0,2021.0,1720.0,1478.0,1274.0,2484.0,3306.0,2568.0,2692.0,2482.0,294.0,22.720247
1.越南.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,60.0,48.0,71.0,74.0,105.0,113.0,88.0,89.0,59.0,106.0,615.0,525.0,463.0,667.0,12.0,25.0
1.越南.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,1528.0,1246.0,1406.0,1220.0,1403.0,1908.0,1632.0,1389.0,1215.0,2378.0,2691.0,2043.0,2229.0,1815.0,282.0,22.632424
1.越南.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,5358.0,4946.0,5142.0,5577.0,6090.0,5735.0,5754.0,5748.0,5596.0,9216.0,8114.0,8047.0,8812.0,8159.0,412.0,8.329964
1.阿塞拜疆,阿塞拜疆MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,7703.0,6677.0,5967.0,4919.0,5110.0,5272.0,5740.0,6139.0,6383.0,8330.0,7423.0,9349.0,8737.0,8594.0,1026.0,15.366182
1.阿塞拜疆.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,2343.0,1733.0,1592.0,1063.0,1092.0,967.0,1124.0,1170.0,1387.0,1655.0,1181.0,1749.0,1626.0,1462.0,610.0,35.199077
1.阿塞拜疆.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,69.0,67.0,72.0,68.0,77.0,55.0,68.0,59.0,33.0,25.0,87.0,83.0,77.0,73.0,2.0,2.985075
