层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.伯利兹,伯利兹MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,656.0,657.0,714.0,615.0,706.0,722.0,620.0,695.0,556.0,638.0,678.0,735.0,,,-1.0,-0.152207,-1.0,-0.000415,-1.7e-05
1.伯利兹.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,100.0,85.0,95.0,61.0,71.0,96.0,90.0,72.0,35.0,46.0,50.0,55.0,,,15.0,17.647059,15.0,0.006231,0.00026
1.伯利兹.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,556.0,572.0,619.0,554.0,635.0,626.0,530.0,623.0,521.0,592.0,628.0,680.0,,,-16.0,-2.797203,-16.0,-0.006647,-0.000277
1.佛得角,佛得角MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,577.0,507.0,527.0,411.0,576.0,547.0,449.0,501.0,640.0,667.0,710.0,700.0,,,70.0,13.806706,70.0,0.029079,0.001212
1.佛得角.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,87.0,88.0,56.0,33.0,54.0,64.0,30.0,48.0,34.0,44.0,43.0,35.0,,,-1.0,-1.136364,-1.0,-0.000415,-1.7e-05
1.佛得角.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,490.0,419.0,471.0,378.0,522.0,483.0,419.0,453.0,606.0,623.0,667.0,665.0,,,71.0,16.945107,71.0,0.029495,0.001229
1.俄罗斯,俄罗斯MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,346618.0,313727.0,351664.0,337970.0,395933.0,393532.0,391052.0,493407.0,396722.0,420403.0,440748.0,411333.0,,,32891.0,10.483956,32891.0,13.663479,0.569528
1.俄罗斯.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,57614.0,44728.0,51073.0,49707.0,70877.0,70455.0,74818.0,71464.0,45504.0,53716.0,57178.0,47015.0,,,12886.0,28.809694,12886.0,5.353063,0.223129
1.俄罗斯.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,289004.0,268999.0,300591.0,288263.0,325056.0,323077.0,316234.0,421943.0,351218.0,366687.0,383570.0,364318.0,,,20005.0,7.436831,20005.0,8.310416,0.346399
1.保加利亚,保加利亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,12088.0,10638.0,10367.0,9563.0,10417.0,11324.0,11458.0,14362.0,12397.0,15091.0,15282.0,14217.0,,,1450.0,13.630382,1450.0,0.602355,0.025108
1.保加利亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1868.0,1361.0,1245.0,1104.0,1264.0,1486.0,1570.0,1558.0,927.0,1323.0,1260.0,1093.0,,,507.0,37.252021,507.0,0.210616,0.008779
1.保加利亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,10220.0,9277.0,9122.0,8459.0,9153.0,9838.0,9888.0,12804.0,11470.0,13768.0,14022.0,13124.0,,,943.0,10.164924,943.0,0.391738,0.016329
1.克罗地亚,克罗地亚MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,14450.0,12073.0,10929.0,10381.0,11560.0,12785.0,11947.0,17002.0,16924.0,24152.0,22948.0,19916.0,,,2377.0,19.688561,2377.0,0.987446,0.041159
1.克罗地亚.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,1587.0,1367.0,1115.0,1093.0,1281.0,1487.0,1238.0,1198.0,811.0,1483.0,1396.0,1070.0,,,220.0,16.093636,220.0,0.091392,0.003809
1.克罗地亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,12863.0,10706.0,9814.0,9288.0,10279.0,11298.0,10709.0,15804.0,16113.0,22669.0,21552.0,18846.0,,,2157.0,20.147581,2157.0,0.896054,0.03735
