层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.1.英国,英国新增毛利,7455.222,8277.098429,8236.836143,7808.507571,7216.558143,7092.605429,8349.019571,8397.069286,-821.876429,-9.929523,-821.876429,-27.229144,-0.601295
1.1.英属印度洋领地,英属印度洋领地新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.英属维尔京群岛,英属维尔京群岛新增毛利,0.0,5.946,0.0,0.0,0.0,0.0,0.0,0.0,-5.946,-100.0,-5.946,-0.196994,-0.00435
1.1.荷兰,荷兰新增毛利,458.243286,572.888571,446.205286,581.179143,421.561143,493.440857,478.588143,495.045571,-114.645286,-20.011795,-114.645286,-3.798251,-0.083876
1.1.荷属圣马丁,荷属圣马丁新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.荷属安的列斯,荷属安的列斯新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.莫桑比克,莫桑比克新增毛利,5.668333,6.386143,21.516833,3.6155,5.248,11.6025,2.397,9.630571,-0.71781,-11.240111,-0.71781,-0.023781,-0.000525
1.1.莱索托,莱索托新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.菲律宾,菲律宾新增毛利,227.346429,216.69,228.753,229.797857,275.771286,234.519714,288.891571,246.274714,10.656429,4.917822,10.656429,0.353052,0.007796
1.1.萨尔瓦多,萨尔瓦多新增毛利,27.861429,12.243714,30.742286,21.787429,16.138571,15.161857,12.43,11.009143,15.617714,127.556997,15.617714,0.517422,0.011426
1.1.萨摩亚,萨摩亚新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.葡萄牙,葡萄牙新增毛利,486.792857,563.339571,465.091714,485.094,577.136143,565.797857,589.569429,514.823286,-76.546714,-13.588024,-76.546714,-2.536028,-0.056002
1.1.蒙古,蒙古新增毛利,8.405667,0.0,16.0366,0.0,4.934,0.0,8.025,10.46225,8.405667,,8.405667,0.278484,0.00615
1.1.蒙塞拉特岛,蒙塞拉特岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.西班牙,西班牙新增毛利,702.391429,692.827,834.535429,557.915143,620.124857,657.381143,643.318,608.726143,9.564429,1.380493,9.564429,0.316874,0.006997
1.1.诺福克岛,诺福克岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.贝宁,贝宁新增毛利,3.5295,0.0,1.428667,2.173,0.7362,0.0,0.0,0.0,3.5295,,3.5295,0.116934,0.002582
1.1.赞比亚,赞比亚新增毛利,0.0,8.781857,2.814,9.309,3.013571,4.022,5.6,6.343143,-8.781857,-100.0,-8.781857,-0.290947,-0.006425
1.1.赤道几内亚,赤道几内亚新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.越南,越南新增毛利,17.256857,11.742286,17.092571,11.647143,12.613714,17.579857,11.886714,9.573857,5.514571,46.963356,5.514571,0.1827,0.004035
1.1.阿塞拜疆,阿塞拜疆新增毛利,23.041429,18.958429,40.968857,31.736857,26.371571,30.808429,38.496857,30.958429,4.083,21.536595,4.083,0.135272,0.002987
1.1.阿富汗,阿富汗新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.阿尔及利亚,阿尔及利亚新增毛利,0.0,0.0,0.0,2.7965,0.0,0.0,0.0,10.8465,0.0,,0.0,0.0,0.0
1.1.阿尔巴尼亚,阿尔巴尼亚新增毛利,45.370857,42.044429,51.072286,54.672429,42.629857,40.149571,42.453286,21.166714,3.326429,7.911699,3.326429,0.110206,0.002434
1.1.阿曼,阿曼新增毛利,1.500857,16.569429,13.708714,2.951429,18.087857,4.473429,10.232571,23.835143,-15.068571,-90.94201,-15.068571,-0.499229,-0.011024
1.1.阿根廷,阿根廷新增毛利,164.107714,174.168857,209.272143,179.966,184.813143,169.949286,197.938143,153.154571,-10.061143,-5.77666,-10.061143,-0.33333,-0.007361
1.1.阿联酋,阿联酋新增毛利,172.149,239.551143,190.594286,232.368571,154.132,183.710143,224.299286,240.703,-67.402143,-28.136849,-67.402143,-2.233064,-0.049312
1.1.阿鲁巴,阿鲁巴新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.韩国,韩国新增毛利,27.570429,13.883857,30.356857,37.993571,31.529714,27.681857,20.779571,29.936,13.686571,98.579028,13.686571,0.453442,0.010013
1.1.香港,香港新增毛利,15.13,25.550333,19.904,13.645286,9.488,36.4225,8.788667,14.043714,-10.420333,-40.783551,-10.420333,-0.34523,-0.007624
1.1.马尔代夫,马尔代夫新增毛利,0.0,0.0,0.0,3.61575,0.0,8.61425,4.1712,11.3085,0.0,,0.0,0.0,0.0
1.1.马恩岛,马恩岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.马拉维,马拉维新增毛利,10.8465,8.743,0.0,7.231,2.78075,21.693,8.4658,5.014333,2.1035,24.059247,2.1035,0.06969,0.001539
1.1.马提尼克岛,马提尼克岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.马来西亚,马来西亚新增毛利,50.244714,40.112571,61.537,36.471571,59.084,47.888429,70.590857,71.887714,10.132143,25.25927,10.132143,0.335683,0.007413
1.1.马约特,马约特新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.马绍尔群岛,马绍尔群岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.马耳他,马耳他新增毛利,35.234571,20.232429,26.091571,25.321286,14.716714,27.110143,22.038571,10.938571,15.002143,74.148997,15.002143,0.497028,0.010976
1.1.马达加斯加,马达加斯加新增毛利,0.0,2.2715,0.0,0.0,0.0,7.231,2.7965,0.931,-2.2715,-100.0,-2.2715,-0.075256,-0.001662
1.1.马里,马里新增毛利,8.912,3.748,6.968833,6.787571,10.273143,12.19,6.632,11.565714,5.164,137.780149,5.164,0.171086,0.003778
1.1.黎巴嫩,黎巴嫩新增毛利,37.181429,42.927,48.578429,25.920714,19.051143,29.499571,54.815429,41.135143,-5.745571,-13.384517,-5.745571,-0.190353,-0.004204
