层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.2.印度.1,iOS DAU,291.285714,276.714286,286.0,286.0,297.142857,300.142857,328.714286,327.428571,14.571429,5.265875,14.571429,-0.144833,0.002015
1.2.印度.2,Android DAU,2123.285714,2137.571429,2204.285714,2190.285714,2234.714286,2230.285714,2290.0,2502.428571,-14.285714,-0.668315,-14.285714,0.141993,-0.001975
1.2.印度尼西亚,印度尼西亚 DAU,1853.285714,1850.0,1872.571429,1883.571429,1853.142857,1850.285714,1909.428571,1933.0,3.285714,0.177606,3.285714,-0.032658,0.000454
1.2.印度尼西亚.1,iOS DAU,974.0,944.142857,973.714286,1000.571429,967.428571,952.714286,983.857143,1019.857143,29.857143,3.162354,29.857143,-0.296765,0.004129
1.2.印度尼西亚.2,Android DAU,879.285714,905.857143,898.857143,883.0,885.714286,897.571429,925.571429,913.142857,-26.571429,-2.933291,-26.571429,0.264107,-0.003674
1.2.危地马拉,危地马拉 DAU,735.857143,713.428571,767.142857,756.142857,773.0,745.142857,739.428571,764.0,22.428571,3.143773,22.428571,-0.222929,0.003101
1.2.危地马拉.1,iOS DAU,432.714286,413.285714,448.571429,431.857143,456.285714,430.857143,433.0,453.857143,19.428571,4.701002,19.428571,-0.19311,0.002687
1.2.危地马拉.2,Android DAU,303.142857,300.142857,318.571429,324.285714,316.714286,314.285714,306.428571,310.142857,3.0,0.999524,3.0,-0.029819,0.000415
1.2.厄瓜多尔,厄瓜多尔 DAU,1801.857143,1773.714286,1738.857143,1841.142857,1917.142857,1783.714286,1813.142857,1841.571429,28.142857,1.586662,28.142857,-0.279726,0.003892
1.2.厄瓜多尔.1,iOS DAU,1031.0,1014.714286,978.714286,1039.714286,1079.714286,996.714286,1005.857143,1041.285714,16.285714,1.604956,16.285714,-0.161872,0.002252
1.2.厄瓜多尔.2,Android DAU,770.857143,759.0,760.142857,801.428571,837.428571,787.0,807.285714,800.285714,11.857143,1.562206,11.857143,-0.117854,0.00164
1.2.厄立特里亚,厄立特里亚 DAU,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.2.厄立特里亚.1,iOS DAU,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0
1.2.厄立特里亚.2,Android DAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,0.0
1.2.叙利亚,叙利亚 DAU,396.428571,383.857143,399.285714,393.0,369.571429,390.285714,404.714286,469.857143,12.571429,3.275028,12.571429,-0.124954,0.001738
1.2.叙利亚.1,iOS DAU,93.0,90.714286,91.857143,85.857143,82.428571,85.857143,90.0,110.285714,2.285714,2.519685,2.285714,-0.022719,0.000316
1.2.叙利亚.2,Android DAU,303.428571,293.142857,307.428571,307.142857,287.142857,304.428571,314.714286,359.571429,10.285714,3.508772,10.285714,-0.102235,0.001422
1.2.古巴,古巴 DAU,53.857143,41.0,49.857143,53.857143,51.0,48.571429,53.0,53.714286,12.857143,31.358885,12.857143,-0.127794,0.001778
1.2.古巴.1,iOS DAU,14.428571,11.571429,13.428571,15.857143,14.142857,14.571429,13.0,15.0,2.857143,24.691358,2.857143,-0.028399,0.000395
1.2.古巴.2,Android DAU,39.428571,29.428571,36.428571,38.0,36.857143,34.0,40.0,38.714286,10.0,33.980583,10.0,-0.099395,0.001383
1.2.台湾,台湾 DAU,177.428571,169.571429,172.714286,175.571429,178.428571,168.428571,183.571429,192.714286,7.857143,4.63353,7.857143,-0.078096,0.001086
1.2.台湾.1,iOS DAU,106.714286,101.714286,110.714286,108.0,115.571429,100.285714,124.0,134.428571,5.0,4.91573,5.0,-0.049698,0.000691
1.2.台湾.2,Android DAU,70.714286,67.857143,62.0,67.571429,62.857143,68.142857,59.571429,58.285714,2.857143,4.210526,2.857143,-0.028399,0.000395
1.2.吉尔吉斯斯坦,吉尔吉斯斯坦 DAU,321.857143,314.428571,312.714286,301.857143,293.714286,306.714286,306.142857,377.571429,7.428571,2.362562,7.428571,-0.073836,0.001027
1.2.吉尔吉斯斯坦.1,iOS DAU,274.428571,264.571429,269.0,259.142857,246.857143,261.142857,252.857143,317.714286,9.857143,3.725702,9.857143,-0.097975,0.001363
