country,platform,duration,payment_price_usd,DAU,sub_to_paid_uv,sub_to_paid_revenue,sub_to_paid_rate
Australia,IOS,annual,43.2,88645,495,21386.39,0.005584
Australia,IOS,annual,43.4,62543,342,14842.26,0.005468
Australia,IOS,annual,43.5,46080,232,10094.5,0.005035
Australia,IOS,annual,43.6,82548,454,19794.59,0.0055
Australia,IOS,annual,43.7,82209,458,20017.480000000003,0.005571
Australia,IOS,annual,43.8,111871,675,29564.3,0.006034
Australia,IOS,annual,44.0,92673,520,22881.010000000006,0.005611
Australia,IOS,annual,44.1,62802,386,17017.95,0.006146
Australia,IOS,annual,44.2,114739,669,29568.09,0.005831
Australia,IOS,annual,44.3,130558,709,31406.64,0.005431
Australia,IOS,annual,44.4,92433,546,24230.08,0.005907
Australia,IOS,annual,44.5,82343,496,22073.989999999998,0.006024
Australia,IOS,annual,44.6,89373,548,24441.89,0.006132
Australia,IOS,annual,44.7,99157,556,24855.33,0.005607
Australia,IOS,annual,44.8,164090,978,43810.209999999992,0.00596
Australia,IOS,annual,44.9,101365,649,29134.160000000003,0.006403
Australia,IOS,annual,45.0,49017,304,13675.54,0.006202
Australia,IOS,annual,45.1,61450,392,17678.51,0.006379
Australia,IOS,annual,45.2,83864,492,22235.789999999997,0.005867
Australia,IOS,annual,45.3,91159,528,23913.829999999998,0.005792
Australia,IOS,annual,45.4,32236,215,9766.3100000000013,0.00667
Australia,IOS,annual,45.6,45610,280,12764.4,0.006139
Australia,IOS,annual,46.2,83065,488,22549.8,0.005875
Australia,IOS,annual,46.5,38207,210,9766.04,0.005496
Australia,IOS,annual,46.9,28767,202,9467.34,0.007022
Australia,IOS,annual,47.2,44638,217,10238.98,0.004861
Australia,IOS,annual,47.9,32713,239,11445.599999999999,0.007306
Australia,IOS,annual,52.4,38954,273,14302.759999999998,0.007008
Australia,IOS,annual,53.5,42837,272,14552.939999999999,0.00635
Australia,IOS,annual,54.0,34640,258,13921.5,0.007448
Australia,IOS,annual,54.1,34252,246,13306.18,0.007182
Australia,IOS,annual,54.3,33603,201,10916.02,0.005982
Australia,IOS,annual,54.4,40124,221,12023.009999999998,0.005508
Australia,IOS,annual,55.0,48040,318,17484.33,0.006619
Australia,IOS,annual,55.2,34999,247,13639.82,0.007057
Australia,IOS,annual,55.5,46699,307,17040.31,0.006574
Australia,IOS,annual,55.6,34039,242,13452.57,0.007109
Brazil,IOS,1month,4.9,1393194,1497,7366.04,0.001075
Brazil,IOS,1month,5.0,915008,907,4540.58,0.000991
Brazil,IOS,1month,5.1,3675279,3850,19626.27,0.001048
Brazil,IOS,1month,5.2,3678189,4245,22089.08,0.001154
Brazil,IOS,1month,5.3,7989022,9315,49364.77,0.001166
