层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,wow,wow%
1,整体 新增次留,0.136161,0.142303,0.142372,0.144165,0.134085,0.138158,0.136863,-0.006142,-4.316123
1.1,渠道 新增次留,0.101853,0.110935,0.107046,0.105954,0.095577,0.095517,0.092436,-0.009083,-8.187281
1.1.unknow,unknow 新增次留,,0.0,0.0,,,,,,
1.1.不丹,不丹 新增次留,,,,,1.0,,1.0,,
1.1.东帝汶,东帝汶 新增次留,,,,,,,0.0,,
1.1.中国,中国 新增次留,0.0,0.142857,0.0,0.0,0.5,1.0,0.0,-0.142857,-100.0
1.1.中国台湾,中国台湾 新增次留,0.25,0.5,0.0,0.0,0.5,0.0,0.0,-0.25,-50.0
1.1.中国澳门,中国澳门 新增次留,,,,0.0,,0.0,0.0,,
1.1.中国香港,中国香港 新增次留,0.131266,0.127731,0.130952,0.289157,0.2,0.146341,0.333333,0.003535,2.767578
1.1.中非,中非 新增次留,,,,,,,,,
1.1.丹麦,丹麦 新增次留,0.066667,0.333333,0.25,0.0,0.428571,0.142857,0.222222,-0.266667,-80.0
1.1.乌克兰,乌克兰 新增次留,0.134615,0.124294,0.124183,0.120805,0.134615,0.142045,0.106061,0.010322,8.304196
1.1.乌兹别克斯坦,乌兹别克斯坦 新增次留,0.04878,0.1,0.076923,0.15,0.115385,0.086957,0.033333,-0.05122,-51.219512
1.1.乌干达,乌干达 新增次留,0.0,0.333333,0.5,0.0,0.666667,0.0,0.285714,-0.333333,-100.0
1.1.乌拉圭,乌拉圭 新增次留,0.071429,0.0,0.0,0.0,0.111111,0.0,0.105263,0.071429,
1.1.乍得,乍得 新增次留,,,,,0.0,,0.0,,
1.1.也门,也门 新增次留,,1.0,,,0.0,0.0,,,
1.1.亚美尼亚,亚美尼亚 新增次留,0.166667,0.157895,0.0,0.166667,0.222222,0.142857,0.0,0.008772,5.555556
1.1.以色列,以色列 新增次留,0.233083,0.055556,0.25,0.0,0.0,0.16,0.153846,0.177527,319.548872
1.1.伊拉克,伊拉克 新增次留,0.12069,0.137255,0.068182,0.152174,0.148936,0.206897,0.108108,-0.016565,-12.068966
1.1.伊朗,伊朗 新增次留,0.117056,0.123519,0.134387,0.17847,0.141343,0.189024,0.5,-0.006463,-5.232353
1.1.伯利兹,伯利兹 新增次留,0.0,,,0.0,0.0,,0.0,,
1.1.佛得角,佛得角 新增次留,0.333333,1.0,0.0,,1.0,0.0,0.0,-0.666667,-66.666667
1.1.俄罗斯,俄罗斯 新增次留,0.121517,0.10098,0.115464,0.103844,0.106642,0.102922,0.1034,0.020536,20.336901
1.1.保加利亚,保加利亚 新增次留,0.057143,0.142857,0.333333,0.095238,0.058824,0.454545,0.0,-0.085714,-60.0
1.1.克罗地亚,克罗地亚 新增次留,0.285714,0.192308,0.473684,0.25,0.0,0.48,0.117647,0.093407,48.571429
1.1.关岛,关岛 新增次留,,0.0,0.0,,,0.5,,,
1.1.冈比亚,冈比亚 新增次留,0.307692,0.166667,0.1,0.066667,0.3,0.333333,0.333333,0.141026,84.615385
1.1.冰岛,冰岛 新增次留,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,
1.1.几内亚,几内亚 新增次留,0.0,0.333333,0.0,0.0,1.0,,0.0,-0.333333,-100.0
1.1.几内亚比绍,几内亚比绍 新增次留,1.0,,,,,,,,
1.1.列支敦士登,列支敦士登 新增次留,,,,,,,,,
1.1.刚果共和国,刚果共和国 新增次留,,0.0,,,0.0,0.0,,,
1.1.刚果民主共和国,刚果民主共和国 新增次留,0.2,1.0,0.5,0.333333,0.25,0.0,0.0,-0.8,-80.0
1.1.利比亚,利比亚 新增次留,0.5,0.333333,0.5,0.2,0.0,0.0,0.0,0.166667,50.0
1.1.利比里亚,利比里亚 新增次留,0.0,0.0,1.0,0.0,1.0,0.0,0.333333,0.0,
1.1.加拿大,加拿大 新增次留,0.079893,0.105488,0.086106,0.081408,0.072362,0.063628,0.068515,-0.025595,-24.263145
1.1.加纳,加纳 新增次留,0.205882,0.2,0.184211,0.257143,0.190476,0.357143,0.354839,0.005882,2.941176
1.1.加蓬,加蓬 新增次留,,,,0.0,,,0.0,,
1.1.匈牙利,匈牙利 新增次留,0.0,0.0,0.111111,0.0,0.153846,0.111111,0.0,0.0,
1.1.北马其顿,北马其顿 新增次留,0.0,0.333333,0.5,0.0,0.166667,0.428571,0.166667,-0.333333,-100.0
1.1.北马里亚纳群岛,北马里亚纳群岛 新增次留,,,,,0.0,,,,
1.1.南苏丹,南苏丹 新增次留,0.254902,0.166667,0.139535,0.348837,0.25,0.142857,0.479167,0.088235,52.941176
1.1.南非,南非 新增次留,0.163121,0.125,0.136364,0.2,0.2,0.076923,0.214286,0.038121,30.496454
1.1.博茨瓦纳,博茨瓦纳 新增次留,0.0,0.0,,,,0.0,0.0,0.0,
1.1.卡塔尔,卡塔尔 新增次留,0.142857,0.153846,0.25,0.0,0.125,0.1,0.2,-0.010989,-7.142857
1.1.卢旺达,卢旺达 新增次留,0.333333,0.25,,0.0,1.0,,,0.083333,33.333333
1.1.卢森堡,卢森堡 新增次留,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,
1.1.印度,印度 新增次留,0.227488,0.192513,0.154762,0.190141,0.198795,0.190751,0.177632,0.034975,18.167457
1.1.印度尼西亚,印度尼西亚 新增次留,0.12987,0.090909,0.104167,0.135135,0.219512,0.15625,0.162162,0.038961,42.857143
1.1.危地马拉,危地马拉 新增次留,0.117647,0.133333,0.0,0.0,0.0,0.142857,0.1,-0.015686,-11.764706
1.1.厄瓜多尔,厄瓜多尔 新增次留,0.185185,0.216216,0.08,0.055556,0.035714,0.16129,0.071429,-0.031031,-14.351852
1.1.叙利亚,叙利亚 新增次留,0.121951,0.137931,0.227273,0.166667,0.152174,0.117647,0.166667,-0.01598,-11.585366
1.1.古巴,古巴 新增次留,0.5,0.142857,0.0,0.166667,0.5,0.0,0.0,0.357143,250.0
1.1.吉尔吉斯斯坦,吉尔吉斯斯坦 新增次留,0.166667,0.1875,0.166667,0.125,0.133333,0.117647,0.111111,-0.020833,-11.111111
1.1.吉布提,吉布提 新增次留,,,,,0.0,0.0,,,
1.1.哈萨克斯坦,哈萨克斯坦 新增次留,0.117647,0.166667,0.106383,0.050847,0.145833,0.095238,0.150943,-0.04902,-29.411765
1.1.哥伦比亚,哥伦比亚 新增次留,0.12037,0.132653,0.085106,0.065934,0.097826,0.028846,0.117188,-0.012283,-9.259259
1.1.哥斯达黎加,哥斯达黎加 新增次留,0.0,0.1,0.0,0.2,0.384615,0.0,0.0,-0.1,-100.0
1.1.喀麦隆,喀麦隆 新增次留,0.2,0.4,0.2,0.4,0.0,1.0,0.0,-0.2,-50.0
1.1.图瓦卢,图瓦卢 新增次留,,,,,,,,,
1.1.土库曼斯坦,土库曼斯坦 新增次留,,,,0.0,0.0,0.5,,,
1.1.土耳其,土耳其 新增次留,0.099112,0.097278,0.079014,0.08105,0.090114,0.09629,0.087531,0.001835,1.886
1.1.圣卢西亚,圣卢西亚 新增次留,1.0,,,,0.0,,,,
1.1.圣基茨和尼维斯,圣基茨和尼维斯 新增次留,,,,,1.0,,,,
1.1.圣多美和普林西比,圣多美和普林西比 新增次留,,,,,,,,,
1.1.圣文森特和格林纳丁斯,圣文森特和格林纳丁斯 新增次留,,0.0,,,,,,,
1.1.圣皮埃尔和密克隆群岛,圣皮埃尔和密克隆群岛 新增次留,,,,,,,,,
1.1.圣马力诺,圣马力诺 新增次留,,,,,,0.0,,,
1.1.圭亚那,圭亚那 新增次留,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.坦桑尼亚,坦桑尼亚 新增次留,0.25,0.285714,0.25,0.2,0.3,0.0,0.0,-0.035714,-12.5
1.1.埃及,埃及 新增次留,0.076923,0.163265,0.226415,0.23913,0.103448,0.234568,0.05,-0.086342,-52.884615
1.1.埃塞俄比亚,埃塞俄比亚 新增次留,0.0,0.0,0.4,0.0,0.3,0.0,0.142857,0.0,
1.1.基里巴斯,基里巴斯 新增次留,,,,,,0.0,,,
1.1.塔吉克斯坦,塔吉克斯坦 新增次留,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,
1.1.塞内加尔,塞内加尔 新增次留,1.0,0.0,0.0,0.2,0.416667,0.25,0.333333,1.0,
1.1.塞尔维亚,塞尔维亚 新增次留,0.055556,0.2,0.038462,0.035714,0.192308,0.066667,0.096774,-0.144444,-72.222222
1.1.塞拉利昂,塞拉利昂 新增次留,,,0.0,,0.0,0.5,0.333333,,
1.1.塞浦路斯,塞浦路斯 新增次留,0.2,0.071429,0.285714,0.222222,0.416667,0.153846,0.0,0.128571,180.0
1.1.塞舌尔,塞舌尔 新增次留,0.0,0.0,0.0,,0.0,1.0,,0.0,
1.1.墨西哥,墨西哥 新增次留,0.068845,0.073175,0.066224,0.076812,0.084303,0.054595,0.054824,-0.00433,-5.917523
1.1.多哥,多哥 新增次留,0.25,0.0,0.333333,0.0,0.0,0.333333,0.0,0.25,
1.1.多米尼克,多米尼克 新增次留,0.0,,,,,,,,
1.1.多米尼加,多米尼加 新增次留,0.15,0.28,0.071429,0.071429,0.176471,0.1875,0.333333,-0.13,-46.428571
1.1.奥兰群岛,奥兰群岛 新增次留,,,,,,,,,
1.1.奥地利,奥地利 新增次留,0.2,0.047619,0.083333,0.166667,0.071429,0.147059,0.131579,0.152381,320.0
