层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,wow,wow%
1.2.1.巴林,巴林 次留,0.303571,0.285714,0.362069,0.238095,0.25,0.375,0.335664,0.017857,6.25
1.2.1.巴西,巴西 次留,0.315063,0.316676,0.318406,0.316137,0.311084,0.312203,0.31098,-0.001612,-0.509166
1.2.1.布基纳法索,布基纳法索 次留,0.269517,0.243816,0.229803,0.278066,0.276339,0.28529,0.272578,0.0257,10.540919
1.2.1.布隆迪,布隆迪 次留,0.240909,0.227979,0.270492,0.285714,0.268182,0.251825,0.256881,0.01293,5.671488
1.2.1.希腊,希腊 次留,0.391617,0.404297,0.394974,0.388163,0.37242,0.390254,0.373269,-0.012679,-3.136172
1.2.1.帕劳,帕劳 次留,,,,0.0,0.0,0.25,0.0,,
1.2.1.库克群岛,库克群岛 次留,0.666667,0.0,0.6,0.166667,0.333333,0.6,0.25,0.666667,
1.2.1.库拉索,库拉索 次留,0.268293,0.363636,0.351852,0.407407,0.471698,0.434783,0.391304,-0.095344,-26.219512
1.2.1.开曼群岛,开曼群岛 次留,0.238095,0.32,0.475,0.470588,0.382353,0.294118,0.26087,-0.081905,-25.595238
1.2.1.德国,德国 次留,0.338231,0.353066,0.36082,0.355704,0.359548,0.366281,0.371663,-0.014835,-4.20182
1.2.1.意大利,意大利 次留,0.37806,0.382569,0.384204,0.379852,0.383228,0.389599,0.383033,-0.004509,-1.17865
1.2.1.所罗门群岛,所罗门群岛 次留,0.454545,0.478261,0.45,0.321429,0.157895,0.37037,0.346154,-0.023715,-4.958678
1.2.1.拉脱维亚,拉脱维亚 次留,0.344123,0.379777,0.387993,0.373198,0.372973,0.327324,0.371375,-0.035654,-9.388248
1.2.1.挪威,挪威 次留,0.372737,0.39424,0.352941,0.357692,0.350911,0.379813,0.408635,-0.021503,-5.45438
1.2.1.捷克,捷克 次留,0.356659,0.382948,0.386719,0.373123,0.390681,0.357562,0.357369,-0.026289,-6.864858
1.2.1.摩尔多瓦,摩尔多瓦 次留,0.313643,0.323099,0.283654,0.302326,0.291121,0.323495,0.291399,-0.009457,-2.926857
1.2.1.摩洛哥,摩洛哥 次留,0.295964,0.298496,0.3182,0.303803,0.300683,0.311404,0.282626,-0.002532,-0.848194
1.2.1.摩纳哥,摩纳哥 次留,0.375,0.6,0.333333,0.153846,0.555556,0.166667,0.375,-0.225,-37.5
1.2.1.文莱,文莱 次留,0.391892,0.523077,0.381818,0.439394,0.337662,0.506329,0.416667,-0.131185,-25.079491
1.2.1.斐济,斐济 次留,0.346154,0.410714,0.313131,0.343434,0.275,0.264368,0.351852,-0.06456,-15.719064
1.2.1.斯威士兰,斯威士兰 次留,0.418182,0.409091,0.243902,0.15625,0.285714,0.27027,0.193548,0.009091,2.222222
1.2.1.斯洛伐克,斯洛伐克 次留,0.377712,0.421503,0.399354,0.37961,0.355088,0.379276,0.399558,-0.043791,-10.389313
1.2.1.斯洛文尼亚,斯洛文尼亚 次留,0.362035,0.327623,0.370614,0.344017,0.337995,0.356674,0.352941,0.034412,10.503562
1.2.1.斯里兰卡,斯里兰卡 次留,0.252973,0.305473,0.281609,0.278672,0.254579,0.303602,0.294495,-0.0525,-17.186372
1.2.1.新加坡,新加坡 次留,0.370717,0.389114,0.37428,0.376849,0.350123,0.393636,0.389413,-0.018398,-4.728063
1.2.1.新喀里多尼亚,新喀里多尼亚 次留,0.0,0.0,0.0,0.0,0.285714,0.2,0.0,0.0,
1.2.1.新西兰,新西兰 次留,0.353733,0.360494,0.355529,0.374157,0.358945,0.371837,0.344828,-0.006761,-1.875388
1.2.1.日本,日本 次留,0.418242,0.376443,0.36827,0.412362,0.357276,0.39472,0.407832,0.041799,11.10368
1.2.1.智利,智利 次留,0.378279,0.379243,0.398793,0.374215,0.379698,0.386393,0.397533,-0.000964,-0.254313
1.2.1.柬埔寨,柬埔寨 次留,0.261146,0.287671,0.252747,0.247059,0.286517,0.232558,0.227273,-0.026525,-9.220503
1.2.1.根西岛,根西岛 次留,0.2,0.222222,0.181818,0.5,0.428571,0.5,0.0,-0.022222,-10.0
1.2.1.格林纳达,格林纳达 次留,0.285714,0.433962,0.348837,0.212121,0.266667,0.4,0.289474,-0.148248,-34.161491
1.2.1.格陵兰,格陵兰 次留,0.285714,0.666667,0.0,0.0,,0.0,0.0,-0.380952,-57.142857
1.2.1.格鲁吉亚,格鲁吉亚 次留,0.364775,0.362158,0.364088,0.339692,0.353111,0.322169,0.318999,0.002617,0.722632
1.2.1.梵蒂冈,梵蒂冈 次留,,,,0.5,,,,,
1.2.1.比利时,比利时 次留,0.389542,0.359495,0.360972,0.36161,0.358436,0.362848,0.357872,0.030047,8.358114
1.2.1.毛里塔尼亚,毛里塔尼亚 次留,0.35,0.365854,0.272727,0.260274,0.283784,0.340426,0.282051,-0.015854,-4.333333
1.2.1.毛里求斯,毛里求斯 次留,0.307087,0.332168,0.295019,0.30605,0.288136,0.331058,0.291188,-0.025081,-7.550767
1.2.1.汤加,汤加 次留,0.0,0.0,,,0.0,0.0,0.0,0.0,
1.2.1.沙特阿拉伯,沙特阿拉伯 次留,0.222912,0.227739,0.242537,0.239899,0.229255,0.281433,0.265905,-0.004827,-2.119462
1.2.1.法国,法国 次留,0.362759,0.361849,0.366385,0.370776,0.366374,0.375489,0.380684,0.00091,0.251568
1.2.1.法属圣马丁,法属圣马丁 次留,0.0,0.777778,0.0,0.0,0.0,0.0,0.0,-0.777778,-100.0
1.2.1.法属圭亚那,法属圭亚那 次留,0.294118,0.285714,0.214286,0.181818,0.142857,0.333333,0.375,0.008403,2.941176
1.2.1.法属波利尼西亚,法属波利尼西亚 次留,0.5,0.157895,0.4375,0.538462,0.142857,0.5,0.230769,0.342105,216.666667
1.2.1.法罗群岛,法罗群岛 次留,0.4,0.333333,0.0,1.0,0.0,0.5,0.0,0.066667,20.0
1.2.1.波兰,波兰 次留,0.358663,0.368102,0.368421,0.348541,0.354944,0.367531,0.3678,-0.009438,-2.564065
1.2.1.波多黎各,波多黎各 次留,0.411483,0.379705,0.434916,0.437294,0.462279,0.408346,0.396007,0.031778,8.369081
1.2.1.波黑,波黑 次留,0.343223,0.335264,0.347004,0.335681,0.329158,0.33422,0.340309,0.007959,2.374059
1.2.1.泰国,泰国 次留,0.468354,0.488007,0.463262,0.454874,0.454386,0.437448,0.466205,-0.019653,-4.027183
1.2.1.泽西岛,泽西岛 次留,0.52381,0.576923,0.25,0.176471,0.153846,0.482759,0.421053,-0.053114,-9.206349
1.2.1.津巴布韦,津巴布韦 次留,0.304029,0.289199,0.292517,0.344697,0.31769,0.353801,0.27619,0.014831,5.128205
1.2.1.洪都拉斯,洪都拉斯 次留,0.385582,0.394595,0.394098,0.362558,0.350536,0.353617,0.377627,-0.009013,-2.284011
1.2.1.海地,海地 次留,0.297334,0.288551,0.270751,0.267394,0.277845,0.287049,0.284153,0.008784,3.044047
