层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
3.2.以色列,以色列 新增次日留存UV,12.285714,12.428571,16.571429,18.714286,16.428571,16.857143,13.285714,13.857143,-0.142857,-1.149425
3.2.伊拉克,伊拉克 新增次日留存UV,20.428571,11.142857,9.714286,11.857143,14.0,9.714286,10.714286,11.142857,9.285714,83.333333
3.2.伊朗,伊朗 新增次日留存UV,76.571429,65.0,73.285714,79.571429,150.428571,279.142857,106.714286,97.714286,11.571429,17.802198
3.2.伯利兹,伯利兹 新增次日留存UV,0.2,0.6,0.142857,0.142857,0.285714,0.714286,0.285714,0.571429,-0.4,-66.666667
3.2.佛得角,佛得角 新增次日留存UV,0.428571,0.285714,1.0,0.714286,0.5,0.428571,0.166667,0.285714,0.142857,50.0
3.2.俄罗斯,俄罗斯 新增次日留存UV,401.571429,494.571429,329.857143,345.428571,334.428571,394.428571,357.571429,375.428571,-93.0,-18.804159
3.2.保加利亚,保加利亚 新增次日留存UV,16.571429,14.142857,11.857143,11.857143,10.857143,12.857143,10.0,10.142857,2.428571,17.171717
3.2.克罗地亚,克罗地亚 新增次日留存UV,14.714286,14.285714,14.285714,13.428571,11.285714,9.714286,8.285714,8.0,0.428571,3.0
3.2.关岛,关岛 新增次日留存UV,0.2,0.5,0.666667,0.0,0.5,0.0,0.0,0.6,-0.3,-60.0
3.2.冈比亚,冈比亚 新增次日留存UV,5.142857,3.428571,3.428571,2.0,3.285714,4.428571,5.714286,5.0,1.714286,50.0
3.2.冰岛,冰岛 新增次日留存UV,0.142857,0.714286,0.571429,0.571429,0.571429,0.142857,1.142857,0.428571,-0.571429,-80.0
3.2.几内亚,几内亚 新增次日留存UV,2.0,1.714286,1.285714,3.428571,2.857143,2.714286,2.0,2.571429,0.285714,16.666667
3.2.几内亚比绍,几内亚比绍 新增次日留存UV,0.4,0.4,0.5,0.0,0.6,0.4,0.5,0.142857,0.0,0.0
3.2.列支敦士登,列支敦士登 新增次日留存UV,0.0,0.0,1.0,0.0,0.333333,0.5,0.0,0.0,0.0,
3.2.刚果共和国,刚果共和国 新增次日留存UV,0.428571,1.428571,1.0,1.0,0.857143,0.857143,1.0,0.571429,-1.0,-70.0
3.2.刚果民主共和国,刚果民主共和国 新增次日留存UV,3.571429,3.714286,4.0,3.428571,3.142857,3.0,1.714286,3.0,-0.142857,-3.846154
3.2.利比亚,利比亚 新增次日留存UV,3.142857,1.714286,1.142857,2.0,0.857143,1.428571,1.0,1.857143,1.428571,83.333333
3.2.利比里亚,利比里亚 新增次日留存UV,6.0,6.142857,5.0,5.285714,3.428571,7.0,6.428571,3.571429,-0.142857,-2.325581
3.2.加拿大,加拿大 新增次日留存UV,65.142857,63.0,65.285714,64.571429,59.714286,69.714286,61.0,55.428571,2.142857,3.401361
3.2.加纳,加纳 新增次日留存UV,29.142857,27.285714,25.0,23.142857,29.142857,35.285714,42.857143,44.285714,1.857143,6.806283
3.2.加蓬,加蓬 新增次日留存UV,0.0,0.2,0.0,0.0,0.5,0.0,0.4,0.25,-0.2,-100.0
3.2.匈牙利,匈牙利 新增次日留存UV,7.857143,9.142857,7.857143,9.857143,7.571429,8.428571,6.857143,6.285714,-1.285714,-14.0625
3.2.北马其顿,北马其顿 新增次日留存UV,6.142857,6.857143,5.285714,4.857143,2.571429,4.857143,5.142857,5.285714,-0.714286,-10.416667
3.2.北马里亚纳群岛,北马里亚纳群岛 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.2.南苏丹,南苏丹 新增次日留存UV,8.571429,4.857143,4.714286,5.0,6.428571,7.428571,4.857143,7.0,3.714286,76.470588
3.2.南非,南非 新增次日留存UV,23.142857,16.142857,13.0,20.428571,19.0,21.571429,15.857143,16.857143,7.0,43.362832
3.2.博茨瓦纳,博茨瓦纳 新增次日留存UV,0.285714,0.666667,0.2,0.333333,0.714286,0.5,0.166667,0.142857,-0.380952,-57.142857
3.2.卡塔尔,卡塔尔 新增次日留存UV,2.285714,0.142857,2.428571,1.428571,2.0,2.142857,1.857143,1.285714,2.142857,1500.0
3.2.卢旺达,卢旺达 新增次日留存UV,1.714286,1.714286,1.285714,1.714286,2.0,1.0,1.0,0.857143,0.0,0.0
3.2.卢森堡,卢森堡 新增次日留存UV,1.428571,0.714286,1.428571,1.285714,1.0,0.714286,0.857143,1.0,0.714286,100.0
3.2.印度,印度 新增次日留存UV,29.714286,60.428571,17.857143,19.0,17.285714,19.571429,16.428571,13.285714,-30.714286,-50.827423
3.2.印度尼西亚,印度尼西亚 新增次日留存UV,20.571429,17.142857,18.714286,23.428571,27.571429,26.857143,22.857143,19.714286,3.428571,20.0
3.2.危地马拉,危地马拉 新增次日留存UV,6.285714,6.714286,8.285714,3.142857,3.142857,5.285714,3.714286,2.428571,-0.428571,-6.382979
3.2.厄瓜多尔,厄瓜多尔 新增次日留存UV,11.142857,13.714286,9.285714,9.0,7.857143,7.714286,8.428571,7.285714,-2.571429,-18.75
3.2.叙利亚,叙利亚 新增次日留存UV,4.142857,4.428571,3.285714,4.857143,4.142857,5.428571,3.714286,4.285714,-0.285714,-6.451613
3.2.古巴,古巴 新增次日留存UV,2.0,0.666667,1.285714,0.857143,0.5,0.428571,0.285714,0.75,1.333333,200.0
3.2.台湾,台湾 新增次日留存UV,1.857143,2.142857,1.142857,1.714286,1.142857,1.142857,1.571429,1.142857,-0.285714,-13.333333
3.2.吉尔吉斯斯坦,吉尔吉斯斯坦 新增次日留存UV,5.571429,7.142857,6.0,6.142857,6.857143,11.857143,8.428571,7.0,-1.571429,-22.0
3.2.吉布提,吉布提 新增次日留存UV,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,
3.2.哈萨克斯坦,哈萨克斯坦 新增次日留存UV,32.142857,35.857143,30.428571,33.142857,45.285714,81.428571,48.571429,32.857143,-3.714286,-10.358566
3.2.哥伦比亚,哥伦比亚 新增次日留存UV,45.285714,40.428571,43.142857,42.714286,34.714286,39.571429,33.285714,37.285714,4.857143,12.014134
3.2.哥斯达黎加,哥斯达黎加 新增次日留存UV,4.714286,3.285714,4.571429,4.428571,4.714286,2.714286,3.0,2.714286,1.428571,43.478261
3.2.喀麦隆,喀麦隆 新增次日留存UV,4.857143,4.285714,2.857143,4.0,5.285714,4.142857,3.571429,4.571429,0.571429,13.333333
3.2.图瓦卢,图瓦卢 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.2.土库曼斯坦,土库曼斯坦 新增次日留存UV,0.857143,0.4,0.666667,0.4,0.0,0.25,0.5,0.5,0.457143,114.285714
3.2.土耳其,土耳其 新增次日留存UV,185.0,223.857143,122.571429,119.285714,107.428571,104.428571,93.857143,97.0,-38.857143,-17.358009
3.2.圣卢西亚,圣卢西亚 新增次日留存UV,0.5,1.0,0.857143,0.333333,0.571429,0.5,0.166667,0.0,-0.5,-50.0
3.2.圣基茨和尼维斯,圣基茨和尼维斯 新增次日留存UV,0.0,0.0,0.0,0.333333,0.285714,0.4,0.4,0.0,0.0,
3.2.圣多美和普林西比,圣多美和普林西比 新增次日留存UV,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,
3.2.圣巴泰勒米岛,圣巴泰勒米岛 新增次日留存UV,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,
3.2.圣文森特和格林纳丁斯,圣文森特和格林纳丁斯 新增次日留存UV,0.0,0.5,0.333333,0.333333,0.25,0.25,0.5,0.0,-0.5,-100.0
3.2.圣皮埃尔和密克隆群岛,圣皮埃尔和密克隆群岛 新增次日留存UV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-100.0
3.2.圣马力诺,圣马力诺 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.2.圭亚那,圭亚那 新增次日留存UV,1.142857,0.142857,0.285714,0.857143,0.571429,0.571429,0.285714,1.0,1.0,700.0
3.2.坦桑尼亚,坦桑尼亚 新增次日留存UV,3.428571,3.428571,4.571429,3.857143,4.571429,3.857143,5.285714,3.857143,0.0,0.0
3.2.埃及,埃及 新增次日留存UV,37.428571,28.857143,33.142857,26.428571,24.285714,21.714286,24.142857,23.0,8.571429,29.70297
3.2.埃塞俄比亚,埃塞俄比亚 新增次日留存UV,2.142857,3.0,1.857143,3.142857,3.285714,2.428571,2.0,2.857143,-0.857143,-28.571429
3.2.基里巴斯,基里巴斯 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.2.塔吉克斯坦,塔吉克斯坦 新增次日留存UV,2.285714,1.142857,1.285714,1.285714,0.571429,0.571429,1.333333,0.857143,1.142857,100.0
3.2.塞内加尔,塞内加尔 新增次日留存UV,14.285714,12.571429,8.0,12.857143,8.714286,8.857143,8.142857,13.571429,1.714286,13.636364
3.2.塞尔维亚,塞尔维亚 新增次日留存UV,24.428571,24.428571,25.285714,20.142857,18.428571,21.571429,13.428571,18.571429,0.0,0.0
3.2.塞拉利昂,塞拉利昂 新增次日留存UV,1.285714,1.428571,2.0,1.714286,2.285714,1.142857,2.0,2.857143,-0.142857,-10.0
3.2.塞浦路斯,塞浦路斯 新增次日留存UV,3.428571,3.714286,3.571429,4.285714,3.857143,2.428571,5.0,4.142857,-0.285714,-7.692308
3.2.塞舌尔,塞舌尔 新增次日留存UV,0.285714,0.428571,0.571429,0.0,1.0,0.0,0.285714,1.0,-0.142857,-33.333333
3.2.墨西哥,墨西哥 新增次日留存UV,122.857143,124.857143,158.714286,112.428571,84.0,80.285714,66.857143,62.714286,-2.0,-1.601831
3.2.多哥,多哥 新增次日留存UV,1.571429,0.714286,1.0,1.285714,2.0,1.857143,1.142857,1.428571,0.857143,120.0
3.2.多米尼克,多米尼克 新增次日留存UV,0.0,0.0,0.5,2.0,0.0,0.5,0.5,0.0,0.0,
3.2.多米尼加,多米尼加 新增次日留存UV,11.571429,8.428571,9.714286,6.142857,9.857143,6.142857,7.571429,9.285714,3.142857,37.288136
3.2.奥兰群岛,奥兰群岛 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.2.奥地利,奥地利 新增次日留存UV,13.714286,13.0,11.428571,14.0,11.714286,12.714286,10.142857,12.714286,0.714286,5.494505
3.2.委内瑞拉,委内瑞拉 新增次日留存UV,23.428571,18.428571,17.857143,13.142857,12.571429,9.142857,5.857143,11.0,5.0,27.131783
3.2.孟加拉,孟加拉 新增次日留存UV,95.571429,72.571429,64.571429,65.428571,67.285714,67.571429,64.285714,76.857143,23.0,31.692913
3.2.安哥拉,安哥拉 新增次日留存UV,3.142857,2.142857,1.714286,2.571429,3.0,3.428571,2.142857,2.714286,1.0,46.666667
3.2.安圭拉,安圭拉 新增次日留存UV,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,-0.333333,-100.0
3.2.安提瓜和巴布达,安提瓜和巴布达 新增次日留存UV,0.428571,0.571429,0.2,0.2,0.5,0.75,0.4,0.0,-0.142857,-25.0
3.2.安道尔,安道尔 新增次日留存UV,1.0,0.333333,0.25,0.0,0.2,0.0,0.0,0.0,0.666667,200.0
3.2.密克罗尼西亚联邦,密克罗尼西亚联邦 新增次日留存UV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-100.0
3.2.尼加拉瓜,尼加拉瓜 新增次日留存UV,5.0,5.285714,6.285714,2.857143,3.428571,2.142857,3.285714,2.0,-0.285714,-5.405405
3.2.尼日利亚,尼日利亚 新增次日留存UV,169.285714,122.571429,117.571429,120.714286,131.857143,147.857143,163.857143,161.428571,46.714286,38.111888
