层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1.2.汤加,汤加 DNU,1.333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.333333,33.333333
1.2.沙特阿拉伯,沙特阿拉伯 DNU,146.0,80.571429,80.857143,87.714286,81.0,82.285714,71.0,70.857143,65.428571,81.205674
1.2.法国,法国 DNU,663.142857,579.428571,496.142857,347.142857,364.142857,389.571429,311.571429,309.285714,83.714286,14.447732
1.2.法属圣马丁,法属圣马丁 DNU,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1.2.法属圭亚那,法属圭亚那 DNU,1.0,1.0,1.25,1.0,1.0,1.0,0.0,2.0,0.0,0.0
1.2.法属波利尼西亚,法属波利尼西亚 DNU,2.2,1.2,1.285714,2.0,1.0,1.75,1.166667,1.4,1.0,83.333333
1.2.法罗群岛,法罗群岛 DNU,1.0,1.333333,1.0,1.0,1.0,0.0,1.0,1.0,-0.333333,-25.0
1.2.波兰,波兰 DNU,255.571429,229.714286,203.857143,192.0,192.0,209.285714,201.857143,186.714286,25.857143,11.256219
1.2.波多黎各,波多黎各 DNU,20.285714,22.428571,23.142857,19.571429,21.142857,22.571429,21.428571,24.285714,-2.142857,-9.55414
1.2.波黑,波黑 DNU,52.857143,48.428571,51.142857,48.0,37.857143,39.714286,41.857143,46.0,4.428571,9.144543
1.2.泰国,泰国 DNU,45.857143,46.0,42.142857,39.857143,44.857143,36.285714,36.285714,32.857143,-0.142857,-0.310559
1.2.泽西岛,泽西岛 DNU,3.0,1.0,1.6,2.0,1.25,1.0,1.6,1.5,2.0,200.0
1.2.津巴布韦,津巴布韦 DNU,10.0,4.0,5.571429,5.0,8.428571,5.142857,5.142857,5.0,6.0,150.0
1.2.洪都拉斯,洪都拉斯 DNU,48.285714,40.714286,59.571429,23.571429,21.714286,22.857143,19.428571,15.714286,7.571429,18.596491
1.2.海地,海地 DNU,24.571429,16.285714,15.142857,14.857143,20.142857,15.571429,15.571429,16.428571,8.285714,50.877193
1.2.澳大利亚,澳大利亚 DNU,272.0,270.714286,285.714286,297.857143,300.0,319.571429,271.142857,271.428571,1.285714,0.474934
1.2.澳门,澳门 DNU,2.0,1.666667,1.428571,1.5,1.6,1.0,1.5,1.0,0.333333,20.0
1.2.爱尔兰,爱尔兰 DNU,84.0,75.285714,67.285714,76.571429,85.857143,82.142857,80.714286,87.285714,8.714286,11.574953
1.2.爱沙尼亚,爱沙尼亚 DNU,51.428571,52.428571,35.714286,43.0,36.571429,36.428571,36.857143,39.142857,-1.0,-1.907357
1.2.牙买加,牙买加 DNU,31.571429,24.142857,20.285714,19.571429,23.0,24.0,22.142857,19.571429,7.428571,30.769231
1.2.特克斯和凯科斯群岛,特克斯和凯科斯群岛 DNU,1.571429,1.75,2.0,2.333333,2.0,1.2,2.0,1.333333,-0.178571,-10.204082
1.2.特立尼达和多巴哥,特立尼达和多巴哥 DNU,9.714286,6.142857,5.571429,7.285714,8.142857,9.714286,6.714286,5.857143,3.571429,58.139535
