日期,平台,国家,订阅类型,订阅毛利（剔除退款，$）,新增毛利,续订毛利
2025-06-01,整体,帕劳,整体,8.33,8.33,0.0
2025-06-01,整体,库克群岛,整体,0.0,,
2025-06-01,整体,库拉索,整体,0.0,,
2025-06-01,整体,开曼群岛,整体,155.03400000000002,78.888,88.046
2025-06-01,整体,德国,整体,68724.31999999999,37946.429000000004,35160.992999999995
2025-06-01,整体,意大利,整体,17673.768000000004,8612.491999999998,9995.974999999999
2025-06-01,整体,所罗门群岛,整体,0.0,,
2025-06-01,整体,拉脱维亚,整体,2235.8540000000003,871.4290000000001,1525.2389999999998
2025-06-01,整体,挪威,整体,6299.406,2873.4410000000007,3584.6910000000003
2025-06-01,整体,捷克,整体,5688.376,2621.9339999999997,3252.7950000000005
2025-06-01,整体,摩尔多瓦,整体,1579.2930000000001,809.058,832.635
2025-06-01,整体,摩洛哥,整体,433.243,270.244,162.99900000000002
2025-06-01,整体,摩纳哥,整体,0.0,,
2025-06-01,整体,整体,整体,3435567.0670000003,1711628.6179999993,1940105.3569999998
2025-06-01,整体,文莱,整体,22.95,22.95,0.0
2025-06-01,整体,斐济,整体,75.73799999999999,37.232,38.506
2025-06-01,整体,斯威士兰,整体,0.0,0.0,0.0
2025-06-01,整体,斯洛伐克,整体,3226.9160000000006,1383.2839999999999,1949.3489999999997
2025-06-01,整体,斯洛文尼亚,整体,1497.148,756.487,853.7510000000001
2025-06-01,整体,斯里兰卡,整体,210.35299999999995,64.294,146.059
2025-06-01,整体,新加坡,整体,1818.3539999999998,785.822,1150.5740000000003
2025-06-01,整体,新喀里多尼亚,整体,0.0,,
2025-06-01,整体,新西兰,整体,8012.1630000000005,4061.2280000000005,4612.358999999999
2025-06-01,整体,日本,整体,2414.0180000000005,1388.9669999999996,1116.123
2025-06-01,整体,智利,整体,7819.594,3224.633,4919.0380000000005
2025-06-01,整体,未知,整体,0.0,0.0,0.0
2025-06-01,整体,柬埔寨,整体,123.19699999999999,75.55399999999999,47.643
2025-06-01,整体,根西岛,整体,0.0,,
2025-06-01,整体,格林纳达,整体,26.307000000000002,11.075,15.232000000000001
2025-06-01,整体,格陵兰,整体,0.0,,
2025-06-01,整体,格鲁吉亚,整体,1933.2839999999999,965.7369999999999,1138.8970000000002
2025-06-01,整体,比利时,整体,7588.463999999999,3644.511,4168.644
2025-06-01,整体,毛里塔尼亚,整体,0.0,0.0,0.0
2025-06-01,整体,毛里求斯,整体,133.163,68.071,65.092
2025-06-01,整体,汤加,整体,0.0,,
2025-06-01,整体,沙特阿拉伯,整体,4391.172,2630.9900000000002,2112.5380000000005
2025-06-01,整体,法国,整体,16704.949,9805.679999999998,8746.072
2025-06-01,整体,法属圣马丁,整体,0.0,,
2025-06-01,整体,法属圭亚那,整体,27.551,,
2025-06-01,整体,法属波利尼西亚,整体,7.997,,
2025-06-01,整体,法罗群岛,整体,21.223,,
2025-06-01,整体,波兰,整体,14680.584,8087.232000000001,7512.85
2025-06-01,整体,波多黎各,整体,375.644,144.748,230.89599999999996
2025-06-01,整体,波黑,整体,2421.3720000000003,1311.885,1216.7369999999999
2025-06-01,整体,泰国,整体,1444.997,654.708,821.366
2025-06-01,整体,泽西岛,整体,0.0,,
2025-06-01,整体,津巴布韦,整体,93.365,32.330000000000005,61.035
2025-06-01,整体,洪都拉斯,整体,1172.385,590.969,693.8559999999999
2025-06-01,整体,海地,整体,13.5,0.0,13.5
2025-06-01,整体,澳大利亚,整体,129996.13100000002,56402.366,80009.02800000002
2025-06-01,整体,澳门,整体,0.0,,
2025-06-01,整体,爱尔兰,整体,23961.765000000003,10641.606999999998,14731.836000000001
2025-06-01,整体,爱沙尼亚,整体,2205.532,881.4549999999999,1518.7459999999999
2025-06-01,整体,牙买加,整体,1368.4540000000002,690.671,774.031
2025-06-01,整体,特克斯和凯科斯群岛,整体,98.36200000000001,67.472,30.89
2025-06-01,整体,特立尼达和多巴哥,整体,735.642,324.54699999999997,432.795
2025-06-01,整体,玻利维亚,整体,695.8539999999999,292.415,403.4389999999999
2025-06-01,整体,瑙鲁,整体,0.0,,
2025-06-01,整体,瑞典,整体,11012.561,5353.360000000001,6349.737999999999
2025-06-01,整体,瑞士,整体,13703.711,7067.665,6973.3460000000005
2025-06-01,整体,瓜德罗普,整体,6.211,2.561,3.65
2025-06-01,整体,瓦利斯和富图纳群岛,整体,0.0,,
2025-06-01,整体,瓦努阿图,整体,6.378,0.0,6.378
2025-06-01,整体,留尼汪岛,整体,14.785,4.006,10.779
2025-06-01,整体,白俄罗斯,整体,6742.630999999999,3429.397,3618.246000000001
2025-06-01,整体,百慕大,整体,178.088,63.192,114.89599999999999
2025-06-01,整体,直布罗陀,整体,8.285,0.0,8.285
2025-06-01,整体,福克兰群岛,整体,0.0,,
2025-06-01,整体,科威特,整体,2451.9239999999995,1061.1499999999999,1436.274
2025-06-01,整体,科摩罗,整体,0.0,,
2025-06-01,整体,科特迪瓦,整体,70.642,32.888,37.754
2025-06-01,整体,科索沃,整体,792.573,509.4530000000001,327.6929999999999
2025-06-01,整体,秘鲁,整体,7247.426999999999,3059.5699999999997,4415.0909999999985
2025-06-01,整体,突尼斯,整体,14.517999999999999,4.234,10.283999999999999
2025-06-01,整体,立陶宛,整体,3456.3520000000003,1845.4589999999998,1935.0469999999998
2025-06-01,整体,索马里,整体,0.85,,
2025-06-01,整体,约旦,整体,819.716,590.973,372.438
2025-06-01,整体,纳米比亚,整体,304.41999999999996,132.76500000000001,171.655
2025-06-01,整体,纽埃岛,整体,0.0,,
2025-06-01,整体,缅甸,整体,11.9,11.9,0.0
2025-06-01,整体,罗马尼亚,整体,11904.236,5102.391,7253.005
2025-06-01,整体,美国,整体,1696156.5289999999,827196.0640000001,966038.2980000002
2025-06-01,整体,美属维尔京群岛,整体,17.818,,
2025-06-01,整体,美属萨摩亚,整体,0.0,,
2025-06-01,整体,老挝,整体,7.57,0.0,7.57
2025-06-01,整体,肯尼亚,整体,344.444,200.31500000000003,183.82899999999995
2025-06-01,整体,芬兰,整体,4293.949,1739.1389999999997,2785.707
2025-06-01,整体,苏丹,整体,0.0,,
2025-06-01,整体,苏里南,整体,0.0,,
