渠道自然,国家,日期,平台,新老,MAU
整体,洪都拉斯,2025-07-01,Android,整体,2465.0
整体,洪都拉斯,2025-07-01,iOS,整体,2569.0
non-Organic,洪都拉斯,2025-07-01,iOS,整体,130.0
non-Organic,圣卢西亚,2025-09-01,iOS,整体,25.0
整体,阿尔及利亚,2025-09-01,整体,整体,5595.0
non-Organic,东帝汶,2025-09-01,iOS,整体,2.0
Organic,阿尔及利亚,2025-09-01,iOS,整体,1588.0
Organic,马拉维,2025-09-01,iOS,整体,200.0
Organic,乌拉圭,2025-12-01,iOS,整体,3278.0
Organic,津巴布韦,2025-12-01,整体,整体,1154.0
Organic,塞拉利昂,2025-11-01,iOS,整体,303.0
Organic,安提瓜和巴布达,2025-11-01,整体,整体,450.0
Organic,法属圣马丁,2026-02-01,整体,整体,80.0
整体,津巴布韦,2026-02-01,整体,整体,968.0
整体,斯威士兰,2026-07-01,Android,整体,52.0
Organic,安道尔,2026-07-01,整体,整体,257.0
整体,东帝汶,2026-07-01,iOS,整体,40.0
non-Organic,阿联酋,2026-07-01,Android,整体,192.0
整体,圣卢西亚,2026-05-01,整体,整体,535.0
Organic,塞拉利昂,2026-05-01,iOS,整体,458.0
non-Organic,亚美尼亚,2026-04-01,整体,整体,227.0
non-Organic,也门,2026-04-01,Android,整体,219.0
non-Organic,斯威士兰,2026-03-01,iOS,整体,1.0
Organic,法属圣马丁,2026-03-01,Android,整体,7.0
non-Organic,芬兰,2025-08-01,整体,整体,950.0
整体,阿尔及利亚,2025-08-01,整体,整体,6291.0
Organic,圣多美和普林西比,2025-08-01,Android,整体,47.0
Organic,安道尔,2026-01-01,Android,整体,56.0
Organic,阿尔及利亚,2026-06-01,iOS,整体,1375.0
整体,瑙鲁,2026-06-01,整体,整体,1.0
non-Organic,基里巴斯,2025-10-01,整体,整体,1.0
Organic,卢森堡,2025-10-01,整体,整体,1561.0
Organic,法属圣马丁,2025-10-01,iOS,整体,47.0
non-Organic,洪都拉斯,2025-06-01,整体,整体,782.0
non-Organic,芬兰,2025-07-01,Android,整体,199.0
non-Organic,塞拉利昂,2025-07-01,iOS,整体,7.0
non-Organic,斯威士兰,2025-07-01,Android,整体,19.0
Organic,斯威士兰,2025-12-01,iOS,整体,74.0
non-Organic,东帝汶,2025-12-01,整体,整体,11.0
non-Organic,塞浦路斯,2025-12-01,Android,整体,36.0
整体,也门,2025-09-01,iOS,整体,82.0
整体,圣卢西亚,2025-09-01,整体,整体,431.0
整体,法属圣马丁,2025-09-01,整体,整体,33.0
non-Organic,亚美尼亚,2025-11-01,Android,整体,199.0
non-Organic,法国,2025-11-01,Android,整体,897.0
整体,法属圣马丁,2026-02-01,整体,整体,89.0
整体,索马里,2026-07-01,Android,整体,850.0
Organic,塞浦路斯,2026-05-01,整体,整体,5227.0
整体,基里巴斯,2026-05-01,Android,整体,3.0
整体,埃及,2026-05-01,Android,整体,13153.0
Organic,卢森堡,2026-05-01,整体,整体,1367.0
Organic,阿尔及利亚,2026-04-01,Android,整体,2480.0
整体,津巴布韦,2026-04-01,Android,整体,562.0
non-Organic,瑙鲁,2026-04-01,整体,整体,1.0
整体,尼日利亚,2026-04-01,Android,整体,14370.0
整体,安道尔,2026-04-01,iOS,整体,195.0
整体,土库曼斯坦,2026-03-01,Android,整体,78.0
Organic,卢森堡,2026-03-01,iOS,整体,1053.0
non-Organic,津巴布韦,2026-03-01,iOS,整体,12.0
Organic,美属萨摩亚,2026-01-01,iOS,整体,6.0
non-Organic,索马里,2026-01-01,iOS,整体,27.0
non-Organic,圣多美和普林西比,2026-01-01,整体,整体,3.0
整体,叙利亚,2026-06-01,整体,整体,4374.0
Organic,也门,2025-10-01,iOS,整体,96.0
non-Organic,安道尔,2025-10-01,iOS,整体,4.0
non-Organic,乌拉圭,2025-10-01,iOS,整体,30.0
整体,塞浦路斯,2025-10-01,Android,整体,1401.0
non-Organic,土库曼斯坦,2025-10-01,Android,整体,63.0
整体,基里巴斯,2025-06-01,整体,整体,3.0
Organic,塞拉利昂,2025-06-01,整体,整体,739.0
