三级来源,用户数,占比,付费人数,付费转化率,留存率,使用该三级功能比例,除该三级功能还使用其他功能比例,仅使用来源功能占比,仅使用来源功能付费率,仅使用来源功能留存率,还使用其他功能占比,还使用其他功能付费率,还使用其他功能留存率,试用其他来源功能比仅使用来源功能留存率提升,AI Expand,AI Image,AI Repair,AI Replace,AI Retouch,AI Tattoo,Adjust,Background,Blur,Body,Bokeh,Crop,Effects,Eraser,Expression,Face,Face Fix,Filters,Glitter,Glowup,Hair,Magic,Makeup,Muscle,Plump,Preset,Prism,Relight,Reshape,Resize,Skin,Stamp,Stretch,Text
Stamp,378.0,0.29%,76.0,20.11%,26.46%,99.74%,79.89%,19.84%,18.67%,14.67%,79.89%,20.53%,29.47%,14.80%,2.38%,0.53%,7.14%,9.52%,3.97%,0.53%,14.29%,0.53%,18.52%,5.29%,4.76%,8.20%,0.26%,22.22%,0.79%,11.64%,0.53%,12.70%,0.53%,1.59%,4.76%,10.58%,9.79%,0.53%,1.59%,0.26%,2.12%,9.52%,19.58%,4.50%,40.21%,99.74%,4.50%,0.79%
AI Expand,333.0,0.25%,42.0,12.61%,33.63%,95.80%,64.26%,31.53%,13.33%,21.90%,64.26%,11.68%,38.79%,16.88%,95.80%,1.50%,10.81%,7.21%,3.90%,0.90%,12.91%,0.60%,8.41%,9.61%,1.50%,25.53%,0.90%,14.71%,1.20%,12.91%,1.80%,12.31%,0.30%,2.10%,4.80%,6.61%,11.11%,1.50%,1.20%,0.60%,0.90%,13.51%,21.92%,5.41%,23.72%,2.40%,10.21%,0.00%
Expression,230.0,0.17%,42.0,18.26%,31.74%,98.70%,90.43%,8.26%,26.32%,15.79%,90.43%,17.79%,33.17%,17.38%,1.30%,1.74%,3.91%,1.30%,18.26%,0.43%,12.61%,0.43%,4.78%,14.35%,1.30%,9.57%,0.87%,6.09%,98.70%,41.30%,13.04%,17.83%,1.74%,9.13%,10.00%,39.13%,22.61%,1.74%,6.09%,2.61%,0.43%,10.87%,31.74%,6.09%,44.78%,0.43%,6.52%,0.00%
Preset,221.0,0.17%,47.0,21.27%,31.22%,98.19%,85.97%,12.22%,33.33%,18.52%,85.97%,20.00%,32.63%,14.11%,0.45%,2.26%,2.71%,0.90%,16.29%,0.45%,13.57%,3.62%,2.71%,9.05%,3.62%,9.05%,0.00%,7.69%,2.71%,22.62%,1.36%,28.05%,0.45%,8.60%,10.86%,31.22%,22.17%,0.90%,4.98%,98.19%,0.45%,14.48%,16.29%,6.33%,44.34%,0.00%,5.88%,0.00%
Bokeh,221.0,0.17%,36.0,16.29%,30.77%,100.00%,78.73%,21.27%,14.89%,27.66%,78.73%,16.67%,31.61%,3.95%,4.52%,0.45%,7.69%,4.07%,3.62%,0.45%,22.62%,3.62%,29.86%,4.52%,100.00%,23.08%,0.45%,11.76%,1.36%,10.41%,0.90%,26.24%,0.45%,2.71%,4.98%,13.12%,8.14%,0.90%,3.17%,0.90%,4.52%,20.36%,14.03%,2.71%,29.86%,0.90%,3.62%,1.36%
Background,205.0,0.16%,36.0,17.56%,24.88%,98.05%,70.73%,27.32%,16.07%,17.86%,70.73%,16.55%,26.90%,9.04%,2.44%,2.44%,4.39%,4.39%,5.37%,0.98%,16.59%,98.05%,6.83%,1.95%,1.46%,19.51%,0.00%,18.05%,1.46%,9.27%,0.98%,16.59%,0.98%,6.83%,5.85%,22.93%,11.22%,0.00%,3.41%,1.46%,1.46%,13.17%,12.20%,2.93%,25.85%,0.98%,4.88%,0.49%
AI Tattoo,85.0,0.06%,4.0,4.71%,40.00%,83.53%,58.82%,24.71%,0.00%,28.57%,58.82%,8.00%,46.00%,17.43%,1.18%,3.53%,5.88%,1.18%,3.53%,83.53%,5.88%,2.35%,9.41%,32.94%,1.18%,15.29%,1.18%,3.53%,3.53%,16.47%,0.00%,16.47%,1.18%,7.06%,18.82%,10.59%,11.76%,12.94%,7.06%,1.18%,0.00%,11.76%,22.35%,5.88%,21.18%,1.18%,2.35%,0.00%
Glitter,43.0,0.03%,9.0,20.93%,46.51%,100.00%,90.70%,9.30%,0.00%,0.00%,90.70%,23.08%,51.28%,51.28%,2.33%,0.00%,4.65%,2.33%,9.30%,2.33%,16.28%,6.98%,20.93%,11.63%,2.33%,4.65%,4.65%,9.30%,2.33%,11.63%,2.33%,30.23%,100.00%,11.63%,6.98%,27.91%,16.28%,4.65%,2.33%,0.00%,2.33%,16.28%,20.93%,6.98%,48.84%,2.33%,4.65%,2.33%
Text,40.0,0.03%,11.0,27.50%,22.50%,100.00%,52.50%,47.50%,26.32%,21.05%,52.50%,28.57%,23.81%,2.76%,5.00%,0.00%,2.50%,2.50%,5.00%,0.00%,15.00%,5.00%,7.50%,5.00%,5.00%,15.00%,5.00%,5.00%,0.00%,5.00%,2.50%,15.00%,2.50%,2.50%,7.50%,12.50%,5.00%,0.00%,2.50%,5.00%,0.00%,10.00%,2.50%,0.00%,20.00%,0.00%,5.00%,100.00%
Effects,35.0,0.03%,6.0,17.14%,28.57%,91.43%,71.43%,20.00%,14.29%,0.00%,71.43%,16.00%,36.00%,36.00%,2.86%,14.29%,5.71%,5.71%,8.57%,0.00%,11.43%,11.43%,11.43%,11.43%,5.71%,11.43%,91.43%,5.71%,0.00%,11.43%,2.86%,45.71%,2.86%,8.57%,17.14%,25.71%,5.71%,0.00%,0.00%,8.57%,2.86%,11.43%,11.43%,5.71%,31.43%,0.00%,5.71%,2.86%
Crop,28.0,0.02%,1.0,3.57%,39.29%,92.86%,78.57%,14.29%,0.00%,25.00%,78.57%,4.55%,45.45%,20.45%,21.43%,0.00%,10.71%,0.00%,0.00%,0.00%,39.29%,0.00%,14.29%,0.00%,7.14%,92.86%,0.00%,3.57%,3.57%,17.86%,3.57%,14.29%,0.00%,3.57%,7.14%,10.71%,17.86%,0.00%,3.57%,3.57%,0.00%,10.71%,25.00%,3.57%,25.00%,0.00%,10.71%,0.00%
列均值,,-,,-,-,-,-,-,-,-,-,-,-,-,5.70%,2.02%,8.23%,5.18%,12.75%,3.16%,14.92%,4.68%,7.83%,15.61%,4.90%,14.43%,3.23%,12.32%,5.39%,24.00%,4.96%,20.52%,3.75%,8.97%,10.98%,25.07%,18.37%,4.60%,6.96%,4.52%,0.88%,14.39%,23.51%,8.52%,39.47%,3.62%,4.89%,3.33%
