层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.1.南非,南非新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,6248.653,6361.306,6540.851,5340.06,6933.688,6956.131,5158.051,5041.334,5215.298,5188.099,4734.741,4091.438,4932.574,4418.692,-112.653,-1.77091,-112.653,-0.027502,-0.003135
1.1.博茨瓦纳,博茨瓦纳新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,95.781,97.099,106.187,61.278,78.901,52.037,146.482,50.46,143.564,121.527,86.926,73.726,85.267,53.179,-1.318,-1.357378,-1.318,-0.000322,-3.7e-05
1.1.卡塔尔,卡塔尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,660.388,586.792,451.542,547.15,499.866,593.97,675.126,691.642,717.875,685.467,620.723,893.479,863.769,769.991,73.596,12.542093,73.596,0.017967,0.002048
1.1.卢旺达,卢旺达新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,55.864,56.471,27.286,5.593,46.123,66.86,32.614,33.6,34.875,11.9,8.4,16.8,20.367,23.227,-0.607,-1.074888,-0.607,-0.000148,-1.7e-05
1.1.卢森堡,卢森堡新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,508.012,826.069,405.696,395.392,360.059,307.121,475.877,413.011,293.904,704.058,456.492,589.836,287.989,406.98,-318.057,-38.502474,-318.057,-0.077648,-0.008851
1.1.印度,印度新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,4.921,0.0,0.0,,,0.0,,3.366,0.0,,21.227,0.0,,0.0,4.921,,4.921,0.001201,0.000137
1.1.印度尼西亚,印度尼西亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1740.271,1431.82,1611.601,1204.497,1362.204,1118.351,1184.976,1266.748,1095.171,1313.118,1117.147,888.795,1264.264,1286.097,308.451,21.542582,308.451,0.075303,0.008584
1.1.危地马拉,危地马拉新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,905.761,927.936,918.989,1017.068,1463.89,1263.596,1099.158,775.248,1008.136,1067.251,859.558,868.166,829.717,947.585,-22.175,-2.389712,-22.175,-0.005414,-0.000617
1.1.厄瓜多尔,厄瓜多尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,2732.168,2341.344,2617.773,2395.258,3199.747,2491.501,2320.095,1713.146,2102.237,2452.313,2112.817,2217.053,2550.289,2231.726,390.824,16.692293,390.824,0.095413,0.010876
1.1.叙利亚,叙利亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.古巴,古巴新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.台湾,台湾新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,283.362,308.05,188.324,308.867,241.71,484.709,619.324,147.549,220.512,297.408,563.562,263.932,354.213,347.808,-24.688,-8.014283,-24.688,-0.006027,-0.000687
1.1.吉尔吉斯斯坦,吉尔吉斯斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1435.977,521.406,403.185,356.805,397.53,539.024,321.357,445.895,299.688,451.51,338.338,461.301,284.149,323.719,914.571,175.404771,914.571,0.223277,0.025452
1.1.吉布提,吉布提新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,0.0,0.0,,,,,
1.1.哈萨克斯坦,哈萨克斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,5414.114,3494.288,3137.755,2573.036,2982.231,2884.354,2668.079,2463.15,2319.47,3395.658,3679.12,2782.338,2659.13,2380.209,1919.826,54.941837,1919.826,0.468694,0.053428
1.1.哥伦比亚,哥伦比亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,10356.517,9156.85,8828.603,8272.652,10927.456,8667.958,8255.597,6628.449,6401.806,7490.087,7180.739,6551.355,6395.694,5806.24,1199.667,13.101307,1199.667,0.292879,0.033386
1.1.哥斯达黎加,哥斯达黎加新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1405.155,1209.664,1375.55,1270.517,1317.259,1485.82,1176.892,875.104,1031.489,1440.023,1433.704,1199.196,1132.388,1026.047,195.491,16.160769,195.491,0.047726,0.00544
