enter_abtest_date,active_date,abcode,lcx,week_day,control_active0,control_activex,retention_rate
20260502,20260504,28906,2,1,8977,828,0.0922
20260502,20260505,28906,3,2,8977,556,0.0619
20260502,20260506,28906,4,3,8977,516,0.0575
20260502,20260507,28906,5,4,8977,475,0.0529
20260502,20260508,28906,6,5,8977,421,0.0469
20260502,20260509,28906,7,6,8977,478,0.0532
20260502,20260510,28906,8,7,8977,547,0.0609
20260502,20260511,28906,9,1,8977,488,0.0544
20260502,20260512,28906,10,2,8977,360,0.0401
20260502,20260513,28906,11,3,8977,347,0.0387
20260502,20260514,28906,12,4,8977,335,0.0373
20260502,20260515,28906,13,5,8977,339,0.0378
20260502,20260516,28906,14,6,8977,359,0.04
20260502,20260517,28906,15,7,8977,380,0.0423
20260502,20260518,28906,16,1,8977,357,0.0398
20260503,20260504,28906,1,1,9411,1384,0.1471
20260503,20260505,28906,2,2,9411,796,0.0846
20260503,20260506,28906,3,3,9411,606,0.0644
20260503,20260507,28906,4,4,9411,521,0.0554
20260503,20260508,28906,5,5,9411,500,0.0531
20260503,20260509,28906,6,6,9411,476,0.0506
20260503,20260510,28906,7,7,9411,615,0.0653
20260503,20260511,28906,8,1,9411,541,0.0575
20260503,20260512,28906,9,2,9411,386,0.041
20260503,20260513,28906,10,3,9411,351,0.0373
20260503,20260514,28906,11,4,9411,372,0.0395
20260503,20260515,28906,12,5,9411,323,0.0343
20260503,20260516,28906,13,6,9411,373,0.0396
20260503,20260517,28906,14,7,9411,405,0.043
20260503,20260518,28906,15,1,9411,357,0.0379
20260504,20260505,28906,1,2,9254,1237,0.1337
20260504,20260506,28906,2,3,9254,792,0.0856
20260504,20260507,28906,3,4,9254,587,0.0634
20260504,20260508,28906,4,5,9254,546,0.059
20260504,20260509,28906,5,6,9254,525,0.0567
20260504,20260510,28906,6,7,9254,610,0.0659
20260504,20260511,28906,7,1,9254,568,0.0614
20260504,20260512,28906,8,2,9254,426,0.046
20260504,20260513,28906,9,3,9254,382,0.0413
20260504,20260514,28906,10,4,9254,347,0.0375
20260504,20260515,28906,11,5,9254,358,0.0387
20260504,20260516,28906,12,6,9254,327,0.0353
20260504,20260517,28906,13,7,9254,390,0.0421
20260504,20260518,28906,14,1,9254,409,0.0442
20260505,20260506,28906,1,3,7195,987,0.1372
20260505,20260507,28906,2,4,7195,644,0.0895
20260505,20260508,28906,3,5,7195,503,0.0699
20260505,20260509,28906,4,6,7195,479,0.0666
