层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
2.2.2.西班牙,西班牙 活跃UV,6802.285714,6939.857143,6783.571429,6738.142857,6485.571429,6620.285714,6289.714286,5979.0,-137.571429,-1.982338,-2.17698e-05,-3.057559,-0.006747
2.2.2.诺福克岛,诺福克岛 活跃UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2.2.2.贝宁,贝宁 活跃UV,108.285714,120.285714,128.142857,119.428571,138.0,163.714286,150.0,133.0,-12.0,-9.976247,1.0625e-06,0.14923,0.000329
2.2.2.赞比亚,赞比亚 活跃UV,80.857143,76.0,80.571429,78.285714,81.142857,82.857143,82.714286,75.857143,4.857143,6.390977,2.011e-07,0.028238,6.2e-05
2.2.2.赤道几内亚,赤道几内亚 活跃UV,3.285714,4.0,4.571429,5.285714,5.428571,5.571429,4.571429,5.571429,-0.714286,-17.857143,-2.64e-08,-0.003712,-8e-06
2.2.2.越南,越南 活跃UV,425.0,421.571429,439.428571,432.571429,403.285714,411.571429,404.714286,416.428571,3.428571,0.813284,-6.83e-08,-0.009589,-2.1e-05
2.2.2.阿塞拜疆,阿塞拜疆 活跃UV,334.428571,334.571429,336.571429,334.857143,329.285714,351.428571,285.142857,298.571429,-0.142857,-0.042699,2.075e-07,0.029143,6.4e-05
2.2.2.阿富汗,阿富汗 活跃UV,44.285714,50.285714,47.0,51.857143,59.285714,74.857143,38.857143,53.857143,-6.0,-11.931818,7.897e-07,0.11092,0.000245
2.2.2.阿尔及利亚,阿尔及利亚 活跃UV,95.285714,97.285714,94.428571,93.571429,96.428571,113.714286,91.142857,101.285714,-2.0,-2.0558,4.702e-07,0.066042,0.000146
2.2.2.阿尔巴尼亚,阿尔巴尼亚 活跃UV,1056.285714,1008.714286,955.857143,957.714286,953.0,948.0,833.571429,878.857143,47.571429,4.716046,6.586e-07,0.092495,0.000204
2.2.2.阿曼,阿曼 活跃UV,124.0,128.142857,129.428571,128.857143,141.142857,223.428571,122.142857,122.714286,-4.142857,-3.232999,-1.223e-07,-0.017182,-3.8e-05
2.2.2.阿根廷,阿根廷 活跃UV,2497.857143,2726.571429,2672.428571,2556.0,2565.571429,2698.714286,2650.714286,2661.571429,-228.714286,-8.388347,-1.14863e-05,-1.613246,-0.00356
2.2.2.阿联酋,阿联酋 活跃UV,1296.428571,1345.285714,1430.0,1422.571429,1409.0,1669.571429,1333.857143,1399.0,-48.857143,-3.63173,-2.8751e-06,-0.403805,-0.000891
2.2.2.阿鲁巴,阿鲁巴 活跃UV,77.428571,74.0,61.571429,69.285714,69.857143,70.857143,67.857143,66.0,3.428571,4.633205,5.691e-07,0.079934,0.000176
2.2.2.韩国,韩国 活跃UV,320.428571,322.714286,333.571429,329.142857,326.0,347.571429,359.714286,362.142857,-2.285714,-0.708278,-1.374e-07,-0.019293,-4.3e-05
2.2.2.马尔代夫,马尔代夫 活跃UV,66.142857,72.0,80.714286,81.428571,63.857143,82.0,61.857143,71.285714,-5.857143,-8.134921,-1.6032e-06,-0.225172,-0.000497
2.2.2.马恩岛,马恩岛 活跃UV,28.0,28.0,25.0,30.428571,32.285714,32.857143,25.428571,23.714286,0.0,0.0,-1.34e-08,-0.001889,-4e-06
2.2.2.马拉维,马拉维 活跃UV,26.714286,31.857143,31.714286,31.857143,35.0,36.571429,31.285714,29.714286,-5.142857,-16.143498,-3.114e-07,-0.043734,-9.7e-05
2.2.2.马提尼克岛,马提尼克岛 活跃UV,6.571429,5.142857,3.285714,3.571429,6.0,6.428571,5.142857,6.285714,1.428571,27.777778,-1.522e-07,-0.021372,-4.7e-05
2.2.2.马来西亚,马来西亚 活跃UV,497.142857,477.428571,495.714286,488.857143,566.142857,568.142857,479.285714,509.428571,19.714286,4.129264,2.17e-07,0.030473,6.7e-05
2.2.2.马约特,马约特 活跃UV,1.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,50.0,-2.112e-07,-0.029656,-6.5e-05
2.2.2.马绍尔群岛,马绍尔群岛 活跃UV,1.2,1.0,1.0,1.0,1.0,1.0,1.25,1.0,0.2,20.0,8.61e-08,0.012093,2.7e-05
2.2.2.马耳他,马耳他 活跃UV,280.428571,273.142857,276.714286,264.285714,253.142857,223.428571,238.571429,216.428571,7.285714,2.667364,4.734e-07,0.066493,0.000147
2.2.2.马达加斯加,马达加斯加 活跃UV,26.285714,25.428571,26.142857,29.0,25.285714,26.428571,24.857143,24.857143,0.857143,3.370787,-2.26e-08,-0.003177,-7e-06
2.2.2.马里,马里 活跃UV,117.571429,114.571429,125.714286,138.571429,107.285714,135.285714,71.0,70.714286,3.0,2.618454,-3.58e-08,-0.005029,-1.1e-05
2.2.2.黎巴嫩,黎巴嫩 活跃UV,730.0,687.714286,727.714286,706.428571,705.285714,805.714286,634.142857,668.857143,42.285714,6.148733,5.558e-07,0.078067,0.000172
2.2.2.黑山,黑山 活跃UV,751.142857,735.285714,686.285714,664.714286,618.714286,641.571429,612.714286,547.714286,15.857143,2.156596,5.739e-07,0.080607,0.000178
3,整体 次日留存UV,239583.714286,235628.428571,235355.428571,240825.571429,228077.285714,235682.714286,222261.857143,222190.285714,3955.285714,1.678611,,,
