result.date_p,result.platform,result.install_days_type,country_type,result.hist_sub_type,target_user_uv,day_paid_user_uv,day_revenue_usd,skin_tone_paid_user_uv,skin_tone_revenue_usd
20260722,iOS,新用户,德国,历史未订阅过,4,0,0.0,0,0.0
20260725,iOS,30天内,英国,历史未订阅过,34,0,0.0,0,0.0
20260728,Android,30天以上,墨西哥,历史未订阅过,30,0,0.0,0,0.0
20260728,iOS,30天内,西班牙,历史未订阅过,15,2,33.76,0,0.0
20260802,Android,30天以上,加拿大,历史未订阅过,1,0,0.0,0,0.0
20260803,iOS,新用户,西班牙,历史未订阅过,5,0,0.0,0,0.0
20260723,iOS,30天内,其他,历史订阅过（含试用）,6,0,0.0,0,0.0
20260723,iOS,新用户,其他,历史未订阅过,73,1,15.04,1,15.04
20260724,Android,30天以上,英国,历史未订阅过,14,0,0.0,0,0.0
20260726,iOS,30天以上,加拿大,历史订阅过（含试用）,30,1,34.76,0,0.0
20260727,Android,新用户,英国,历史未订阅过,1,0,0.0,0,0.0
20260802,Android,30天以上,澳大利亚,历史未订阅过,1,0,0.0,0,0.0
20260802,iOS,新用户,西班牙,历史未订阅过,8,0,0.0,0,0.0
20260805,iOS,30天以上,巴西,历史订阅过（含试用）,274,8,35.35,5,15.31
20260726,Android,30天以上,巴西,历史订阅过（含试用）,57,2,14.27,1,11.69
20260726,iOS,30天以上,西班牙,历史未订阅过,113,1,5.04,0,0.0
20260727,Android,30天以上,墨西哥,历史订阅过（含试用）,4,0,0.0,0,0.0
20260801,Android,30天以上,加拿大,历史未订阅过,3,0,0.0,0,0.0
20260802,Android,30天以上,巴西,历史未订阅过,327,2,14.9,2,14.9
20260804,Android,30天内,巴西,历史未订阅过,16,1,3.16,0,0.0
20260723,iOS,30天以上,美国,历史未订阅过,294,5,125.46,4,98.51
20260726,iOS,30天以上,墨西哥,历史未订阅过,87,0,0.0,0,0.0
20260727,iOS,30天以上,英国,历史订阅过（含试用）,214,4,53.43,3,47.31
20260730,Android,30天内,墨西哥,历史未订阅过,4,0,0.0,0,0.0
20260731,Android,新用户,墨西哥,历史未订阅过,1,0,0.0,0,0.0
20260805,Android,30天内,德国,历史未订阅过,1,0,0.0,0,0.0
20260727,Android,新用户,美国,历史未订阅过,2,0,0.0,0,0.0
20260801,Android,30天以上,巴西,历史订阅过（含试用）,35,1,2.59,0,0.0
20260804,Android,30天以上,英国,历史未订阅过,13,0,0.0,0,0.0
20260804,Android,30天内,美国,历史未订阅过,2,1,21.24,0,0.0
20260724,iOS,30天内,巴西,历史订阅过（含试用）,2,0,0.0,0,0.0
20260724,iOS,30天内,西班牙,历史未订阅过,10,0,0.0,0,0.0
20260724,iOS,新用户,西班牙,历史未订阅过,7,0,0.0,0,0.0
20260802,Android,30天以上,巴西,历史订阅过（含试用）,53,2,5.77,2,5.77
20260802,iOS,新用户,美国,历史未订阅过,25,0,0.0,0,0.0
20260804,iOS,30天以上,西班牙,历史未订阅过,112,1,27.99,1,27.99
20260724,iOS,30天以上,乌克兰,历史订阅过（含试用）,10,0,0.0,0,0.0
20260724,iOS,30天以上,德国,历史未订阅过,78,0,0.0,0,0.0
20260726,iOS,30天以上,德国,历史未订阅过,113,1,28.08,1,28.08
20260727,Android,30天以上,其他,历史未订阅过,357,0,0.0,0,0.0
20260730,Android,30天内,其他,历史订阅过（含试用）,1,0,0.0,0,0.0
20260731,iOS,30天以上,乌克兰,历史未订阅过,22,0,0.0,0,0.0
20260804,iOS,30天以上,乌克兰,历史订阅过（含试用）,13,1,4.66,0,0.0
20260806,iOS,30天内,西班牙,历史未订阅过,10,0,0.0,0,0.0
20260722,Android,30天以上,巴西,历史未订阅过,210,0,0.0,0,0.0
20260724,iOS,30天内,澳大利亚,历史未订阅过,3,0,0.0,0,0.0
20260726,Android,30天以上,其他,历史未订阅过,414,2,23.9,1,11.66
20260728,iOS,30天内,英国,历史未订阅过,31,3,41.9,2,31.81
20260730,Android,30天以上,澳大利亚,历史未订阅过,1,0,0.0,0,0.0
20260805,Android,新用户,墨西哥,历史未订阅过,1,0,0.0,0,0.0
20260722,iOS,30天以上,乌克兰,历史订阅过（含试用）,5,0,0.0,0,0.0
20260723,Android,30天以上,墨西哥,历史未订阅过,37,0,0.0,0,0.0
20260727,iOS,30天以上,英国,历史未订阅过,336,7,120.71,6,93.56
20260728,Android,30天内,巴西,历史未订阅过,22,0,0.0,0,0.0
20260730,Android,30天以上,乌克兰,历史订阅过（含试用）,1,0,0.0,0,0.0
20260730,iOS,30天以上,澳大利亚,历史未订阅过,40,0,0.0,0,0.0
20260731,iOS,30天内,墨西哥,历史订阅过（含试用）,1,0,0.0,0,0.0
20260806,Android,30天以上,其他,历史订阅过（含试用）,22,1,2.98,0,0.0
20260725,iOS,30天以上,乌克兰,历史未订阅过,30,0,0.0,0,0.0
20260726,Android,30天内,其他,历史订阅过（含试用）,1,0,0.0,0,0.0
20260728,iOS,30天以上,英国,历史订阅过（含试用）,169,8,78.34,6,62.83
20260729,Android,30天以上,墨西哥,历史未订阅过,19,0,0.0,0,0.0
20260803,iOS,30天以上,美国,历史订阅过（含试用）,284,17,215.13,16,209.54
20260806,iOS,30天内,巴西,历史订阅过（含试用）,3,1,12.63,0,0.0
20260729,iOS,30天以上,德国,历史未订阅过,69,2,56.21,2,56.21
20260730,iOS,30天以上,巴西,历史未订阅过,755,3,12.04,2,3.13
20260803,iOS,新用户,美国,历史未订阅过,42,2,11.19,2,11.19
20260803,iOS,新用户,英国,历史未订阅过,17,0,0.0,0,0.0
20260723,Android,30天内,其他,历史未订阅过,48,0,0.0,0,0.0
20260724,iOS,30天内,美国,历史未订阅过,40,0,0.0,0,0.0
20260726,iOS,新用户,美国,历史未订阅过,28,3,59.48,2,32.54
20260727,iOS,新用户,澳大利亚,历史未订阅过,1,0,0.0,0,0.0
20260804,iOS,30天内,美国,历史订阅过（含试用）,2,0,0.0,0,0.0
20260806,iOS,30天内,其他,历史未订阅过,147,1,10.2,1,10.2
20260722,Android,30天内,巴西,历史未订阅过,17,1,3.19,0,0.0
20260801,iOS,30天内,澳大利亚,历史未订阅过,3,0,0.0,0,0.0
20260806,Android,30天以上,巴西,历史未订阅过,196,2,14.81,1,11.65
20260722,Android,30天以上,德国,历史未订阅过,9,0,0.0,0,0.0
20260725,iOS,30天内,其他,历史未订阅过,179,2,23.19,2,23.19
20260729,Android,新用户,巴西,历史未订阅过,7,1,3.14,1,3.14
20260730,Android,30天以上,英国,历史订阅过（含试用）,1,0,0.0,0,0.0
20260731,Android,30天以上,墨西哥,历史未订阅过,26,0,0.0,0,0.0
20260731,iOS,30天以上,美国,历史未订阅过,332,10,218.87,9,190.71
20260801,Android,30天内,加拿大,历史未订阅过,1,0,0.0,0,0.0
20260801,iOS,30天内,西班牙,历史未订阅过,10,1,10.21,1,10.21
20260802,iOS,30天以上,加拿大,历史未订阅过,49,1,24.46,1,24.46
20260804,iOS,30天以上,德国,历史订阅过（含试用）,25,4,101.65,2,50.83
20260722,iOS,30天以上,其他,历史未订阅过,997,7,116.25,5,91.77
20260724,Android,30天内,其他,历史未订阅过,61,0,0.0,0,0.0
20260727,iOS,30天内,墨西哥,历史未订阅过,10,1,26.94,1,26.94
20260728,iOS,30天内,美国,历史未订阅过,39,1,26.94,0,0.0
20260722,Android,30天内,其他,历史未订阅过,38,0,0.0,0,0.0
20260723,Android,30天内,巴西,历史未订阅过,16,1,3.18,1,3.18
20260725,Android,30天以上,澳大利亚,历史未订阅过,1,0,0.0,0,0.0
20260725,Android,30天内,墨西哥,历史订阅过（含试用）,1,0,0.0,0,0.0
20260725,iOS,30天以上,加拿大,历史订阅过（含试用）,26,1,8.94,0,0.0
20260727,iOS,30天内,巴西,历史未订阅过,93,0,0.0,0,0.0
20260728,iOS,30天以上,澳大利亚,历史未订阅过,52,1,28.0,1,28.0
20260729,Android,30天以上,英国,历史未订阅过,17,0,0.0,0,0.0
20260802,Android,新用户,巴西,历史未订阅过,3,0,0.0,0,0.0
20260802,iOS,30天以上,英国,历史订阅过（含试用）,275,20,338.68,18,271.87
20260804,Android,30天以上,巴西,历史未订阅过,223,0,0.0,0,0.0
20260804,Android,30天以上,德国,历史未订阅过,13,0,0.0,0,0.0
20260805,Android,30天以上,加拿大,历史未订阅过,3,0,0.0,0,0.0
20260722,Android,30天以上,英国,历史未订阅过,14,0,0.0,0,0.0
20260723,Android,30天以上,美国,历史未订阅过,22,0,0.0,0,0.0
20260726,iOS,新用户,澳大利亚,历史未订阅过,6,0,0.0,0,0.0
20260727,iOS,30天以上,美国,历史未订阅过,541,8,217.29,4,109.52
20260728,Android,30天以上,英国,历史订阅过（含试用）,2,0,0.0,0,0.0
20260802,iOS,新用户,乌克兰,历史未订阅过,2,0,0.0,0,0.0
20260804,iOS,30天以上,墨西哥,历史订阅过（含试用）,14,0,0.0,0,0.0
